# {"t_start": 1682503003.593979, "env_id": "Craft-single-M1-v0"} 
r,l,t
0.0,1000,2.761215
1.0,123,3.320245
0.0,1000,7.396105
1.0,733,10.378415
1.0,292,11.572612
0.0,772,14.719102
0.0,1000,19.149273
1.0,980,23.583688
1.0,380,25.293257
1.0,177,26.084998
0.0,1000,30.598459
1.0,561,33.121756
1.0,148,33.784161
1.0,281,35.047698
1.0,544,37.510424
0.0,1000,42.010346
1.0,301,43.367847
1.0,306,44.752002
0.0,1000,49.267345
1.0,703,52.44587
1.0,378,54.159226
0.0,1000,58.668722
1.0,257,59.834934
1.0,283,61.109547
0.0,1000,65.61697
1.0,564,68.158936
1.0,152,68.845912
1.0,641,71.736109
1.0,247,72.849295
1.0,451,74.887593
1.0,729,78.183145
0.0,275,79.431884
1.0,231,80.471228
1.0,370,82.1431
1.0,187,82.993836
1.0,418,84.870083
1.0,267,86.07503
1.0,295,87.403028
1.0,280,88.659405
1.0,627,91.489241
1.0,558,93.999791
1.0,401,95.801058
1.0,279,97.053316
1.0,730,100.334546
0.0,198,101.223684
1.0,153,101.920384
1.0,233,102.984165
1.0,659,105.956564
1.0,261,107.141061
1.0,166,107.889918
1.0,225,108.897893
1.0,414,110.758654
1.0,206,111.693263
1.0,195,112.573599
1.0,268,113.785275
1.0,166,114.53795
1.0,125,115.101638
1.0,191,115.962118
0.0,288,117.253199
1.0,494,119.488897
1.0,197,120.374287
1.0,139,121.002451
1.0,563,123.538783
1.0,189,124.389305
1.0,180,125.198345
1.0,172,125.971698
1.0,135,126.582944
1.0,199,127.488207
0.0,53,127.725273
1.0,308,129.112379
1.0,241,130.202279
1.0,81,130.57068
1.0,62,130.847462
1.0,182,131.676371
1.0,422,133.572757
1.0,220,134.556633
1.0,188,135.405831
0.0,184,136.230314
1.0,311,137.642691
1.0,129,138.227062
1.0,63,138.509074
1.0,245,139.613503
1.0,342,141.142689
1.0,470,143.258168
1.0,291,144.568774
1.0,134,145.172314
1.0,114,145.685768
1.0,145,146.341723
1.0,152,147.022748
1.0,70,147.334712
1.0,361,148.956756
1.0,251,150.092321
1.0,144,150.744505
1.0,406,152.567177
1.0,139,153.193603
1.0,130,153.786312
1.0,79,154.142581
1.0,168,154.901602
1.0,212,155.850536
1.0,231,156.907813
1.0,82,157.280582
1.0,226,158.302669
1.0,122,158.854703
1.0,185,159.699702
1.0,141,160.343554
1.0,202,161.264239
1.0,161,161.988904
0.0,142,162.629844
1.0,124,163.199315
1.0,115,163.715652
1.0,151,164.397874
1.0,136,165.006377
1.0,202,165.914992
1.0,193,166.782035
1.0,387,168.532812
1.0,165,169.277422
1.0,205,170.196635
1.0,212,171.153444
1.0,103,171.618392
1.0,256,172.768586
1.0,213,173.730106
1.0,270,174.946436
1.0,150,175.622496
1.0,137,176.243625
1.0,149,176.915847
1.0,65,177.208287
1.0,112,177.756474
1.0,169,178.445442
1.0,270,179.545855
1.0,173,180.256708
1.0,218,181.147659
0.0,142,181.736284
1.0,105,182.166738
1.0,94,182.552155
1.0,232,183.500777
1.0,82,183.837014
1.0,88,184.199387
1.0,259,185.256039
1.0,135,185.803473
1.0,204,186.637304
1.0,73,186.936971
1.0,117,187.417279
1.0,120,187.908391
1.0,136,188.468475
1.0,244,189.46688
1.0,110,189.915016
1.0,194,190.713392
1.0,115,191.186854
1.0,290,192.370808
1.0,107,192.808508
1.0,129,193.332989
1.0,143,193.91581
1.0,173,194.619555
1.0,143,195.205834
1.0,134,195.753867
1.0,196,196.56049
1.0,161,197.225595
1.0,249,198.250376
1.0,91,198.623097
1.0,151,199.238238
1.0,236,200.205044
1.0,105,200.636348
1.0,63,200.900553
1.0,110,201.349813
1.0,75,201.660822
1.0,175,202.37771
1.0,113,202.838251
1.0,103,203.263928
1.0,167,203.941496
1.0,141,204.518868
1.0,113,204.984093
1.0,219,205.877163
1.0,136,206.435251
1.0,118,206.924216
1.0,114,207.386721
1.0,138,207.953542
1.0,153,208.575869
1.0,77,208.890146
