% time spent exploring,episodes,mean 100 episode reward,steps
82,100,0.9,35233
75,200,1.0,50698
69,300,1.0,62330
64,400,1.0,73090
59,500,1.0,81992
56,600,1.0,89613
52,700,1.0,96567
49,800,1.0,103354
46,900,1.0,109297
43,1000,1.0,114917
41,1100,1.0,120334
38,1200,1.0,125405
36,1300,1.0,129967
34,1400,1.0,134298
32,1500,1.0,138320
30,1600,1.0,141848
28,1700,1.0,145294
27,1800,1.0,148542
25,1900,1.0,151759
24,2000,1.0,154868
22,2100,1.0,157832
21,2200,1.0,160692
19,2300,1.0,163400
18,2400,1.0,166089
17,2500,1.0,168895
15,2600,1.0,171501
14,2700,1.0,174120
13,2800,1.0,176620
12,2900,1.0,179072
11,3000,1.0,181482
9,3100,1.0,183928
8,3200,1.0,187586
6,3300,1.0,189896
5,3400,1.0,192206
4,3500,1.0,194490
3,3600,1.0,196716
2,3700,1.0,198900
2,3800,1.0,201206
2,3900,1.0,203354
2,4000,1.0,205592
2,4100,1.0,208042
2,4200,1.0,210206
2,4300,1.0,212412
2,4400,1.0,214646
2,4500,1.0,216828
2,4600,1.0,219006
2,4700,1.0,221206
2,4800,1.0,223362
2,4900,1.0,225568
2,5000,1.0,227718
2,5100,1.0,229868
2,5200,1.0,232020
2,5300,1.0,234206
2,5400,1.0,236360
2,5500,1.0,238584
2,5600,1.0,241665
2,5700,1.0,243849
2,5800,1.0,246086
2,5900,1.0,248276
2,6000,1.0,250594
2,6100,1.0,252958
2,6200,1.0,255282
2,6300,1.0,257450
2,6400,1.0,259646
2,6500,1.0,261896
2,6600,1.0,264054
2,6700,1.0,266480
2,6800,1.0,268736
2,6900,1.0,270916
2,7000,1.0,273276
2,7100,1.0,275420
2,7200,1.0,277572
2,7300,1.0,279736
2,7400,1.0,281916
2,7500,1.0,284078
2,7600,1.0,286222
2,7700,1.0,288430
2,7800,1.0,290588
2,7900,1.0,292736
2,8000,1.0,294922
2,8100,1.0,297088
2,8200,1.0,299298
2,8300,1.0,301484
2,8400,1.0,303634
2,8500,1.0,305806
2,8600,1.0,308000
2,8700,1.0,310176
