# {"t_start": 1682658412.475877, "env_id": "Craft-single-M1-v0"} 
r,l,t
1.0,1000,0.115113
20.0,1000,0.214619
0.0,1000,0.314263
0.0,1000,0.413347
1.0,1000,0.512068
0.0,1000,0.610848
0.0,1000,0.710234
0.0,1000,0.809761
0.0,1000,0.908955
0.0,1000,0.997875
0.0,1000,1.070431
0.0,1000,1.143559
0.0,1000,1.224091
0.0,1000,1.299302
1.0,1000,1.3761
0.0,1000,1.451854
0.0,1000,1.525512
0.0,1000,1.598549
1.0,1000,1.66809
0.0,1000,1.737827
1.0,1000,1.814283
1.0,1000,1.886308
0.0,1000,1.958134
1.0,1000,2.027145
0.0,1000,2.097765
0.0,1000,2.169667
0.0,1000,2.2482
2.0,1000,2.317275
1.0,1000,2.385469
1.0,1000,2.456556
0.0,1000,2.538475
0.0,1000,2.610639
0.0,1000,2.680022
1.0,1000,2.757437
0.0,1000,2.837204
2.0,1000,2.9056
0.0,1000,2.976238
0.0,1000,3.043461
1.0,1000,3.115311
0.0,1000,3.183599
0.0,1000,3.253632
1.0,1000,3.321942
41.0,1000,3.393304
1.0,1000,3.462449
0.0,1000,3.53443
0.0,1000,3.604455
0.0,1000,3.678939
1.0,1000,3.746798
1.0,1000,3.81418
54.0,1000,3.883099
0.0,1000,3.956224
0.0,1000,4.028357
91.0,1000,4.095327
3.0,1000,4.162887
115.0,1000,4.232315
0.0,1000,4.302109
38.0,1000,4.374239
0.0,1000,4.443125
0.0,1000,4.517822
0.0,1000,4.586699
1.0,1000,4.662742
1.0,1000,4.730598
0.0,1000,4.801063
1.0,1000,4.875945
23.0,1000,4.948072
0.0,1000,5.016425
84.0,1000,5.085763
0.0,1000,5.156262
1.0,1000,5.224669
113.0,1000,5.298
0.0,1000,5.372524
1.0,1000,5.449374
1.0,1000,5.533949
0.0,1000,5.610859
0.0,1000,5.685912
163.0,1000,5.757891
259.0,1000,5.825427
0.0,1000,5.894018
196.0,1000,5.965174
176.0,1000,6.034677
0.0,1000,6.110842
0.0,1000,6.185189
91.0,1000,6.258317
1.0,1000,6.332671
0.0,1000,6.408859
0.0,1000,6.486497
0.0,1000,6.557708
95.0,1000,6.628471
1.0,1000,6.696511
0.0,1000,6.77211
0.0,1000,6.845592
1.0,1000,6.916568
0.0,1000,6.988093
0.0,1000,7.06692
0.0,1000,7.15599
245.0,1000,7.253282
1.0,1000,7.345877
1.0,1000,7.440521
0.0,1000,7.538643
45.0,1000,7.64246
0.0,1000,7.745439
0.0,1000,7.826374
39.0,1000,7.913105
18.0,1000,7.993344
0.0,1000,8.073588
5.0,1000,8.162744
38.0,1000,8.244589
172.0,1000,8.332458
0.0,1000,8.416154
0.0,1000,8.492113
165.0,1000,8.571772
1.0,1000,8.650357
74.0,1000,8.725094
159.0,1000,8.792087
208.0,1000,8.86617
199.0,1000,8.933803
1.0,1000,9.002835
0.0,1000,9.072827
0.0,1000,9.145411
1.0,1000,9.222358
117.0,1000,9.297246
1.0,1000,9.372959
196.0,1000,9.450657
0.0,1000,9.522886
1.0,1000,9.596507
28.0,1000,9.669089
164.0,1000,9.742405
1.0,1000,9.815605
240.0,1000,9.890714
246.0,1000,9.966308
1.0,1000,10.041546
0.0,1000,10.11541
25.0,1000,10.187792
176.0,1000,10.256759
0.0,1000,10.326436
1.0,1000,10.402019
70.0,1000,10.468817
217.0,1000,10.53754
192.0,1000,10.606908
236.0,1000,10.677155
140.0,1000,10.748482
1.0,1000,10.826158
109.0,1000,10.899738
0.0,1000,10.978607
0.0,1000,11.055363
1.0,1000,11.125079
1.0,1000,11.197898
73.0,1000,11.275922
94.0,1000,11.350297
205.0,1000,11.421161
133.0,1000,11.49702
1.0,1000,11.575905
54.0,1000,11.646712
160.0,1000,11.718603
255.0,1000,11.79892
111.0,1000,11.887908
181.0,1000,11.962045
0.0,1000,12.039991
123.0,1000,12.114408
0.0,1000,12.190197
5.0,1000,12.268209
282.0,1000,12.343339
113.0,1000,12.414864
226.0,1000,12.485485
259.0,1000,12.555537
0.0,1000,12.627997
209.0,1000,12.695683
235.0,1000,12.768188
276.0,1000,12.851435
0.0,1000,12.936877
0.0,1000,13.017471
62.0,1000,13.092433
0.0,1000,13.168533
204.0,1000,13.247601
200.0,1000,13.320478
170.0,1000,13.393235
0.0,1000,13.465693
0.0,1000,13.542703
188.0,1000,13.613524
260.0,1000,13.688704
173.0,1000,13.760378
0.0,1000,13.835474
303.0,1000,13.908838
150.0,1000,13.991505
281.0,1000,14.06916
198.0,1000,14.145492
1.0,1000,14.226342
1.0,1000,14.311599
154.0,1000,14.389495
234.0,1000,14.470161
0.0,1000,14.546711
337.0,1000,14.622551
88.0,1000,14.697691
1.0,1000,14.803392
277.0,1000,14.880224
1.0,1000,14.955318
245.0,1000,15.041314
323.0,1000,15.113094
120.0,1000,15.188906
376.0,1000,15.258819
233.0,1000,15.328464
0.0,1000,15.397332
308.0,1000,15.464124
0.0,1000,15.53603
180.0,1000,15.604139
0.0,1000,15.673817
222.0,1000,15.744466
0.0,1000,15.817205
280.0,1000,15.889037
347.0,1000,15.956519
372.0,1000,16.025462
1.0,1000,16.09266
195.0,1000,16.160372
267.0,1000,16.228247
255.0,1000,16.304499
0.0,1000,16.372438
200.0,1000,16.444666
23.0,1000,16.526364
252.0,1000,16.596541
0.0,1000,16.671702
209.0,1000,16.748581
307.0,1000,16.823595
324.0,1000,16.918581
307.0,1000,16.999327
12.0,1000,17.072735
82.0,1000,17.152683
0.0,1000,17.221774
317.0,1000,17.29242
192.0,1000,17.366834
382.0,1000,17.43826
290.0,1000,17.527572
211.0,1000,17.610689
198.0,1000,17.686262
0.0,1000,17.756437
387.0,1000,17.837729
184.0,1000,17.910313
1.0,1000,17.979531
205.0,1000,18.051158
292.0,1000,18.122984
89.0,1000,18.1905
273.0,1000,18.264694
234.0,1000,18.332433
294.0,1000,18.399752
303.0,1000,18.467759
317.0,1000,18.535232
127.0,1000,18.602153
370.0,1000,18.668367
0.0,1000,18.735509
0.0,1000,18.803906
265.0,1000,18.876437
201.0,1000,18.949266
0.0,1000,19.015999
154.0,1000,19.084653
72.0,1000,19.156362
339.0,1000,19.227881
264.0,1000,19.297784
279.0,1000,19.365494
84.0,1000,19.432017
222.0,1000,19.498759
0.0,1000,19.566287
123.0,1000,19.644704
239.0,1000,19.712736
220.0,1000,19.7815
229.0,1000,19.850248
175.0,1000,19.919558
1.0,1000,19.998002
180.0,1000,20.065493
348.0,1000,20.133021
0.0,1000,20.201685
0.0,1000,20.268862
263.0,1000,20.33717
181.0,1000,20.404025
309.0,1000,20.474585
190.0,1000,20.544352
175.0,1000,20.615646
347.0,1000,20.683513
358.0,1000,20.753072
302.0,1000,20.818738
251.0,1000,20.888855
120.0,1000,20.969856
0.0,1000,21.048754
251.0,1000,21.124973
316.0,1000,21.19535
189.0,1000,21.260987
156.0,1000,21.330606
166.0,1000,21.400542
1.0,1000,21.478122
307.0,1000,21.553324
352.0,1000,21.622131
304.0,1000,21.689028
238.0,1000,21.761092
329.0,1000,21.828467
0.0,1000,21.895925
