# {"t_start": 1682494811.0837598, "env_id": "Craft-single-M1-v0"} 
r,l,t
0.0,1000,0.025204
0.0,1000,0.050107
0.0,1000,0.075075
0.0,1000,0.099711
0.0,1000,0.125225
0.0,1000,0.149569
0.0,1000,0.175623
0.0,1000,0.200141
0.0,1000,0.224677
0.0,1000,0.249328
0.0,1000,0.275608
0.0,1000,0.300549
0.0,1000,0.325122
0.0,1000,0.34974
0.0,1000,0.374489
0.0,1000,0.39906
0.0,1000,0.423791
0.0,1000,0.447922
0.0,1000,0.472131
0.0,1000,0.496522
0.0,1000,0.52192
0.0,1000,0.546784
0.0,1000,0.574938
0.0,1000,0.600665
0.0,1000,0.626345
0.0,1000,0.652215
0.0,1000,0.679003
0.0,1000,0.706014
0.0,1000,0.731781
0.0,1000,0.756443
0.0,1000,0.783267
0.0,1000,0.809095
0.0,1000,0.833884
0.0,1000,0.858501
0.0,1000,0.883137
0.0,1000,0.907612
0.0,1000,0.932411
0.0,1000,0.956923
1.0,968,0.980916
0.0,1000,1.005671
0.0,1000,1.033052
0.0,1000,1.05837
0.0,1000,1.083072
0.0,1000,1.1076
0.0,1000,1.132256
0.0,1000,1.156919
0.0,1000,1.181552
0.0,1000,1.206267
1.0,934,1.229286
0.0,1000,1.254073
0.0,1000,1.280846
0.0,1000,1.3063
0.0,1000,1.330926
0.0,1000,1.355532
0.0,1000,1.380211
0.0,1000,1.405088
0.0,1000,1.429559
0.0,1000,1.4541
0.0,1000,1.478814
0.0,1000,1.50339
0.0,1000,1.529951
0.0,1000,1.555488
0.0,1000,1.580199
0.0,1000,1.604823
0.0,1000,1.629395
0.0,1000,1.654029
1.0,744,1.672568
0.0,1000,1.697019
0.0,1000,1.72176
0.0,1000,1.74644
0.0,1000,1.772236
0.0,1000,1.798001
0.0,1000,1.822686
0.0,1000,1.847591
0.0,1000,1.872452
0.0,1000,1.897049
0.0,1000,1.921751
0.0,1000,1.946207
0.0,1000,1.97108
1.0,749,1.989852
0.0,1000,2.015513
0.0,1000,2.041115
0.0,1000,2.06606
0.0,1000,2.091355
0.0,1000,2.139903
0.0,1000,2.164096
0.0,1000,2.188792
0.0,1000,2.213387
0.0,1000,2.238067
1.0,717,2.256015
0.0,1000,2.281639
0.0,1000,2.307231
0.0,1000,2.332257
0.0,1000,2.357313
0.0,1000,2.382023
0.0,1000,2.40679
0.0,1000,2.431693
0.0,1000,2.456529
0.0,1000,2.481235
0.0,1000,2.506175
0.0,1000,2.531487
0.0,1000,2.55817
0.0,1000,2.583235
0.0,1000,2.608328
0.0,1000,2.633378
0.0,1000,2.658226
0.0,1000,2.682952
0.0,1000,2.707594
0.0,1000,2.732574
0.0,1000,2.757199
0.0,1000,2.782819
0.0,1000,2.80974
0.0,1000,2.834719
0.0,1000,2.859841
0.0,1000,2.884543
0.0,1000,2.909421
0.0,1000,2.934012
0.0,1000,2.958958
0.0,1000,2.983644
0.0,1000,3.008413
0.0,1000,3.033883
0.0,1000,3.060273
0.0,1000,3.085484
0.0,1000,3.110445
0.0,1000,3.135084
0.0,1000,3.159954
0.0,1000,3.184737
0.0,1000,3.209908
0.0,1000,3.234829
0.0,1000,3.259776
0.0,1000,3.284532
0.0,1000,3.310477
0.0,1000,3.336022
0.0,1000,3.361179
0.0,1000,3.385947
0.0,1000,3.410681
0.0,1000,3.435658
0.0,1000,3.460732
0.0,1000,3.48557
0.0,1000,3.510493
0.0,1000,3.53535
0.0,1000,3.56098
0.0,1000,3.586392
0.0,1000,3.611231
0.0,1000,3.63616
0.0,1000,3.660971
0.0,1000,3.685958
0.0,1000,3.710662
0.0,1000,3.735549
0.0,1000,3.76039
0.0,1000,3.785266
1.0,653,3.802109
0.0,1000,3.827622
0.0,1000,3.852612
0.0,1000,3.877792
0.0,1000,3.902689
0.0,1000,3.927469
0.0,1000,3.952507
0.0,1000,3.977164
0.0,1000,4.002166
0.0,1000,4.026968
1.0,600,4.042475
0.0,1000,4.068117
0.0,1000,4.093759
0.0,1000,4.118956
0.0,1000,4.144657
0.0,1000,4.169692
0.0,1000,4.194718
0.0,1000,4.219575
0.0,1000,4.244363
0.0,1000,4.269308
0.0,1000,4.294473
0.0,1000,4.319941
0.0,1000,4.345608
0.0,1000,4.370423
0.0,1000,4.395361
0.0,1000,4.420552
0.0,1000,4.445629
1.0,700,4.462915
0.0,1000,4.487747
0.0,1000,4.512551
0.0,1000,4.537376
0.0,1000,4.563155
0.0,1000,4.588293
0.0,1000,4.613582
0.0,1000,4.638151
0.0,1000,4.662983
0.0,1000,4.687835
0.0,1000,4.712985
0.0,1000,4.737809
0.0,1000,4.762645
0.0,1000,4.787569
0.0,1000,4.813182
0.0,1000,4.838285
0.0,1000,4.863335
0.0,1000,4.888324
0.0,1000,4.913068
0.0,1000,4.938258
0.0,1000,4.963183
0.0,1000,4.988409
0.0,1000,5.013398
0.0,1000,5.038166
0.0,1000,5.063786
0.0,1000,5.089052
0.0,1000,5.114153
0.0,1000,5.139288
0.0,1000,5.164321
0.0,1000,5.189258
0.0,1000,5.214377
0.0,1000,5.239291
1.0,996,5.264388
0.0,1000,5.289493
0.0,1000,5.314976
0.0,1000,5.340211
0.0,1000,5.365197
0.0,1000,5.390223
0.0,1000,5.415058
0.0,1000,5.439732
0.0,1000,5.464656
0.0,1000,5.489519
0.0,1000,5.514368
0.0,1000,5.539274
0.0,1000,5.564913
0.0,1000,5.590086
0.0,1000,5.615123
1.0,890,5.637331
1.0,542,5.650735
0.0,1000,5.675317
0.0,1000,5.700136
0.0,1000,5.725311
1.0,589,5.740149
0.0,1000,5.765206
0.0,1000,5.79015
0.0,1000,5.815724
0.0,1000,5.840769
0.0,1000,5.865597
0.0,1000,5.890677
0.0,1000,5.915697
0.0,1000,5.940572
0.0,1000,5.965616
0.0,1000,5.990729
0.0,1000,6.015738
0.0,1000,6.040988
0.0,1000,6.066834
0.0,1000,6.092535
