episodes,steps,total reward
9,10000,0.0
19,20000,0.0
29,30000,0.0
40,40000,1.0
50,50000,1.0
60,60000,0.0
70,70000,1.0
80,80000,1.0
90,90000,1.0
100,100000,0.0
110,110000,0.0
120,120000,0.0
130,130000,0.0
140,140000,0.0
150,150000,0.0
161,160000,1.0
171,170000,1.0
181,180000,1.0
191,190000,0.0
201,200000,0.0
211,210000,1.0
221,220000,0.0
232,230000,3.0
242,240000,0.0
252,250000,0.0
262,260000,0.0
273,270000,2.0
283,280000,0.0
294,290000,1.0
304,300000,0.0
314,310000,1.0
324,320000,1.0
334,330000,1.0
344,340000,0.0
354,350000,1.0
365,360000,1.0
375,370000,1.0
385,380000,2.0
396,390000,2.0
406,400000,1.0
417,410000,2.0
428,420000,2.0
438,430000,2.0
449,440000,1.0
459,450000,2.0
470,460000,3.0
482,470000,5.0
492,480000,1.0
505,490000,7.0
516,500000,3.0
528,510000,4.0
541,520000,6.0
552,530000,3.0
564,540000,4.0
576,550000,5.0
589,560000,9.0
599,570000,3.0
611,580000,3.0
625,590000,11.0
636,600000,4.0
651,610000,11.0
663,620000,9.0
675,630000,6.0
689,640000,8.0
702,650000,6.0
716,660000,7.0
729,670000,9.0
743,680000,9.0
755,690000,8.0
770,700000,12.0
783,710000,8.0
797,720000,9.0
810,730000,7.0
826,740000,10.0
841,750000,12.0
856,760000,11.0
869,770000,7.0
883,780000,13.0
898,790000,9.0
915,800000,13.0
934,810000,14.0
949,820000,10.0
966,830000,13.0
982,840000,12.0
999,850000,16.0
1016,860000,10.0
1034,870000,16.0
1052,880000,14.0
1070,890000,13.0
1089,900000,15.0
1106,910000,11.0
1124,920000,15.0
1144,930000,17.0
1160,940000,12.0
1179,950000,18.0
1194,960000,10.0
1220,970000,23.0
1239,980000,17.0
1261,990000,20.0
1278,1000000,13.0
1301,1010000,21.0
1319,1020000,14.0
1343,1030000,24.0
1364,1040000,15.0
1387,1050000,19.0
1409,1060000,21.0
1434,1070000,22.0
1462,1080000,27.0
1482,1090000,16.0
1506,1100000,22.0
1531,1110000,24.0
1559,1120000,27.0
1582,1130000,19.0
1606,1140000,22.0
1634,1150000,27.0
1664,1160000,30.0
1694,1170000,29.0
1724,1180000,29.0
1753,1190000,27.0
1779,1200000,25.0
1809,1210000,28.0
1845,1220000,36.0
1875,1230000,27.0
1905,1240000,30.0
1946,1250000,39.0
1973,1260000,25.0
2008,1270000,33.0
2047,1280000,37.0
2084,1290000,35.0
2117,1300000,32.0
2157,1310000,38.0
2197,1320000,40.0
2239,1330000,42.0
2278,1340000,39.0
2322,1350000,43.0
2362,1360000,40.0
2408,1370000,45.0
2461,1380000,53.0
2506,1390000,44.0
2571,1400000,65.0
2609,1410000,37.0
2683,1420000,74.0
2738,1430000,55.0
2801,1440000,63.0
2854,1450000,53.0
2921,1460000,67.0
2989,1470000,68.0
3066,1480000,77.0
3168,1490000,102.0
3280,1500000,112.0
3433,1510000,154.0
3583,1520000,149.0
3699,1530000,116.0
3841,1540000,142.0
3971,1550000,130.0
4108,1560000,137.0
4266,1570000,158.0
4432,1580000,166.0
4581,1590000,149.0
4740,1600000,159.0
4904,1610000,164.0
5065,1620000,161.0
5235,1630000,170.0
5386,1640000,151.0
5554,1650000,168.0
5719,1660000,165.0
5888,1670000,169.0
6054,1680000,166.0
6216,1690000,162.0
6388,1700000,172.0
6544,1710000,156.0
6712,1720000,168.0
6877,1730000,165.0
7043,1740000,166.0
7212,1750000,170.0
7379,1760000,166.0
7544,1770000,165.0
7717,1780000,173.0
7884,1790000,167.0
8055,1800000,171.0
8225,1810000,170.0
8391,1820000,166.0
8565,1830000,174.0
8733,1840000,168.0
8904,1850000,171.0
9076,1860000,172.0
9247,1870000,171.0
9419,1880000,172.0
9592,1890000,173.0
9765,1900000,173.0
9936,1910000,171.0
10110,1920000,174.0
10283,1930000,173.0
10457,1940000,174.0
10616,1950000,159.0
10787,1960000,171.0
10959,1970000,172.0
11126,1980000,167.0
11299,1990000,173.0
11453,2000000,154.0
