# {"t_start": 1682658477.9366617, "env_id": "Craft-single-M1-v0"} 
r,l,t
0.0,1000,0.085047
0.0,1000,0.164874
1.0,826,0.226668
1.0,694,0.274153
1.0,560,0.312787
1.0,224,0.330105
1.0,308,0.351068
1.0,763,0.405474
0.0,291,0.425871
0.0,227,0.4399
0.0,1000,0.511835
0.0,1000,0.581901
1.0,739,0.629631
0.0,1000,0.695273
0.0,1000,0.770073
0.0,1000,0.849827
1.0,379,0.875889
0.0,1000,0.942298
1.0,753,0.995294
0.0,1000,1.071721
1.0,517,1.10794
1.0,158,1.1209
1.0,848,1.178805
1.0,326,1.200979
1.0,101,1.208393
1.0,365,1.232944
1.0,850,1.288195
1.0,405,1.31467
1.0,573,1.353286
0.0,170,1.363981
0.0,1000,1.429663
0.0,1000,1.50681
1.0,784,1.557618
1.0,444,1.588289
1.0,366,1.611608
1.0,703,1.658772
1.0,323,1.680192
1.0,262,1.697638
1.0,324,1.721054
0.0,142,1.731667
1.0,550,1.771773
1.0,193,1.784677
0.0,1000,1.853525
0.0,277,1.871871
0.0,506,1.909648
0.0,1000,1.980275
0.0,225,1.995765
1.0,335,2.019893
1.0,699,2.070718
0.0,245,2.088741
1.0,348,2.114129
0.0,1000,2.188365
1.0,299,2.208119
0.0,808,2.261878
1.0,411,2.289823
0.0,1000,2.355034
0.0,1000,2.421852
1.0,135,2.43184
0.0,1000,2.496644
0.0,1000,2.562524
1.0,184,2.576761
0.0,1000,2.654723
0.0,1000,2.722219
0.0,1000,2.791838
0.0,403,2.819258
0.0,165,2.830718
0.0,1000,2.900899
0.0,1000,2.965451
1.0,173,2.979481
1.0,413,3.020211
0.0,1000,3.096033
0.0,1000,3.169636
0.0,325,3.194834
1.0,899,3.263088
0.0,1000,3.339934
0.0,1000,3.410162
0.0,367,3.436772
0.0,1000,3.507339
0.0,99,3.514804
0.0,1000,3.585829
0.0,1000,3.662378
1.0,561,3.70336
0.0,1000,3.774073
0.0,1000,3.841911
0.0,1000,3.907239
0.0,115,3.914855
0.0,1000,3.983603
0.0,1000,4.049608
0.0,1000,4.117028
1.0,516,4.156049
1.0,151,4.166922
0.0,1000,4.234624
0.0,1000,4.306386
0.0,1000,4.372245
0.0,765,4.425395
1.0,407,4.453035
0.0,1000,4.525133
0.0,1000,4.593203
0.0,1000,4.658554
0.0,1000,4.723573
0.0,1000,4.794008
1.0,768,4.842711
0.0,773,4.894157
0.0,1000,4.972843
0.0,200,4.987406
1.0,622,5.038092
0.0,426,5.067615
0.0,541,5.105471
0.0,1000,5.173891
1.0,923,5.240699
1.0,540,5.27422
1.0,889,5.331751
1.0,905,5.390785
0.0,412,5.420027
1.0,318,5.442189
0.0,1000,5.508258
0.0,862,5.570131
1.0,488,5.601861
1.0,553,5.638289
0.0,1000,5.70647
1.0,767,5.757134
1.0,271,5.776611
0.0,1000,5.842864
1.0,303,5.863038
0.0,1000,5.930574
1.0,936,5.995499
1.0,990,6.068628
1.0,162,6.079668
1.0,387,6.105727
0.0,1000,6.170898
0.0,1000,6.243569
1.0,335,6.269656
1.0,667,6.317044
0.0,1000,6.384005
1.0,633,6.4245
0.0,210,6.438471
1.0,894,6.498115
1.0,345,6.52145
0.0,1000,6.591297
0.0,1000,6.661788
0.0,1000,6.731054
1.0,227,6.747657
1.0,757,6.797766
0.0,1000,6.863484
1.0,242,6.878472
0.0,1000,6.948462
0.0,612,6.995954
0.0,1000,7.071728
0.0,1000,7.140779
0.0,1000,7.20964
1.0,752,7.265152
0.0,1000,7.332677
1.0,985,7.40295
0.0,1000,7.473121
0.0,1000,7.538058
1.0,558,7.576703
0.0,1000,7.649021
1.0,116,7.658357
0.0,1000,7.730236
0.0,1000,7.804646
0.0,1000,7.875079
0.0,1000,7.947741
0.0,1000,8.01607
1.0,267,8.032954
0.0,1000,8.103903
1.0,427,8.132487
0.0,1000,8.201357
1.0,281,8.219481
1.0,165,8.230929
1.0,572,8.270423
0.0,1000,8.34079
0.0,1000,8.40746
0.0,1000,8.47738
0.0,1000,8.542016
0.0,1000,8.607109
1.0,893,8.666592
0.0,1000,8.732915
0.0,1000,8.79744
0.0,1000,8.867314
0.0,1000,8.942411
0.0,664,8.988389
0.0,1000,9.05673
0.0,1000,9.135301
0.0,1000,9.205799
1.0,309,9.22649
1.0,302,9.247829
0.0,1000,9.317912
0.0,1000,9.384457
0.0,1000,9.448879
1.0,173,9.459529
0.0,1000,9.526251
0.0,1000,9.592229
0.0,1000,9.661719
0.0,1000,9.727831
0.0,1000,9.800825
0.0,197,9.815492
0.0,1000,9.883824
0.0,1000,9.950045
1.0,420,9.979466
0.0,1000,10.046999
1.0,525,10.086059
0.0,1000,10.168388
0.0,114,10.178361
0.0,1000,10.260988
0.0,1000,10.346179
1.0,516,10.389638
0.0,1000,10.456213
0.0,1000,10.520271
1.0,849,10.58113
1.0,699,10.62898
0.0,1000,10.698833
1.0,936,10.771569
1.0,214,10.786267
0.0,1000,10.854712
0.0,1000,10.92816
0.0,1000,10.993108
1.0,941,11.061718
1.0,357,11.089005
1.0,613,11.131065
1.0,172,11.143174
1.0,431,11.174098
1.0,330,11.195751
0.0,306,11.219043
1.0,252,11.235834
0.0,1000,11.304631
0.0,1000,11.378114
0.0,1000,11.446078
0.0,1000,11.510971
0.0,1000,11.57541
0.0,1000,11.640203
0.0,1000,11.704099
0.0,1000,11.767735
