episodes,steps,total reward
14,10000,7.0
30,20000,11.0
51,30000,12.0
64,40000,4.0
79,50000,3.0
92,60000,3.0
103,70000,2.0
118,80000,7.0
132,90000,9.0
147,100000,7.0
158,110000,4.0
171,120000,5.0
182,130000,1.0
194,140000,3.0
207,150000,3.0
222,160000,10.0
235,170000,4.0
247,180000,5.0
259,190000,2.0
274,200000,6.0
291,210000,11.0
310,220000,10.0
327,230000,10.0
343,240000,9.0
359,250000,9.0
375,260000,10.0
395,270000,15.0
418,280000,19.0
437,290000,16.0
459,300000,18.0
486,310000,25.0
516,320000,28.0
546,330000,27.0
595,340000,48.0
640,350000,39.0
695,360000,53.0
746,370000,50.0
801,380000,54.0
865,390000,63.0
939,400000,74.0
1019,410000,78.0
1115,420000,94.0
1223,430000,105.0
1331,440000,107.0
1469,450000,137.0
1621,460000,150.0
1859,470000,236.0
2173,480000,314.0
2511,490000,338.0
2877,500000,365.0
3215,510000,338.0
3566,520000,351.0
3844,530000,276.0
4193,540000,349.0
4574,550000,381.0
4984,560000,410.0
5393,570000,409.0
5798,580000,405.0
6203,590000,405.0
6602,600000,399.0
7006,610000,404.0
7419,620000,413.0
7833,630000,414.0
8248,640000,415.0
8655,650000,407.0
9067,660000,412.0
9477,670000,410.0
9887,680000,410.0
10270,690000,383.0
10679,700000,409.0
11089,710000,410.0
11498,720000,409.0
11897,730000,398.0
12304,740000,407.0
12715,750000,411.0
13129,760000,414.0
13538,770000,409.0
13949,780000,411.0
14355,790000,406.0
14763,800000,408.0
15176,810000,413.0
15581,820000,405.0
15995,830000,414.0
16407,840000,412.0
16808,850000,401.0
17194,860000,386.0
17596,870000,402.0
18008,880000,412.0
18416,890000,408.0
18833,900000,417.0
19228,910000,395.0
19639,920000,411.0
20049,930000,410.0
20455,940000,406.0
20867,950000,412.0
21274,960000,407.0
21683,970000,409.0
22096,980000,413.0
22496,990000,400.0
22909,1000000,413.0
23313,1010000,404.0
23728,1020000,415.0
24131,1030000,403.0
24541,1040000,410.0
24948,1050000,407.0
25355,1060000,407.0
25771,1070000,416.0
26177,1080000,406.0
26590,1090000,413.0
27006,1100000,416.0
27417,1110000,411.0
27828,1120000,411.0
28245,1130000,417.0
28659,1140000,414.0
29070,1150000,411.0
29484,1160000,414.0
29896,1170000,412.0
30308,1180000,412.0
30725,1190000,417.0
31140,1200000,415.0
31559,1210000,419.0
31967,1220000,408.0
32375,1230000,408.0
32784,1240000,409.0
33199,1250000,415.0
33607,1260000,408.0
34016,1270000,409.0
34417,1280000,400.0
34830,1290000,413.0
35244,1300000,414.0
35658,1310000,414.0
36076,1320000,418.0
36491,1330000,415.0
36909,1340000,418.0
37322,1350000,413.0
37733,1360000,411.0
38149,1370000,416.0
38563,1380000,414.0
38974,1390000,411.0
39389,1400000,415.0
39797,1410000,408.0
40211,1420000,414.0
40624,1430000,413.0
41036,1440000,412.0
41449,1450000,413.0
41865,1460000,416.0
42283,1470000,418.0
42696,1480000,413.0
43111,1490000,415.0
43523,1500000,412.0
43941,1510000,418.0
44355,1520000,414.0
44773,1530000,418.0
45184,1540000,411.0
45594,1550000,410.0
46013,1560000,419.0
46429,1570000,417.0
46843,1580000,413.0
47259,1590000,416.0
47676,1600000,417.0
48087,1610000,411.0
48501,1620000,414.0
48915,1630000,414.0
49331,1640000,416.0
49743,1650000,412.0
50147,1660000,404.0
50560,1670000,413.0
50975,1680000,415.0
51390,1690000,415.0
51794,1700000,404.0
52202,1710000,408.0
52615,1720000,413.0
53027,1730000,412.0
53443,1740000,416.0
53855,1750000,412.0
54266,1760000,411.0
54682,1770000,416.0
55095,1780000,413.0
55506,1790000,411.0
55919,1800000,413.0
56330,1810000,411.0
56742,1820000,412.0
57156,1830000,414.0
57572,1840000,416.0
57985,1850000,413.0
58397,1860000,412.0
58808,1870000,411.0
59226,1880000,418.0
59641,1890000,415.0
60057,1900000,416.0
60469,1910000,412.0
60880,1920000,411.0
61291,1930000,411.0
61699,1940000,408.0
62111,1950000,412.0
62527,1960000,416.0
62943,1970000,416.0
63349,1980000,406.0
63760,1990000,411.0
64174,2000000,414.0
