episodes,steps,total reward
12,10000,3.0
30,20000,8.0
48,30000,6.0
67,40000,10.0
88,50000,12.0
104,60000,8.0
121,70000,11.0
144,80000,22.0
171,90000,22.0
200,100000,26.0
228,110000,25.0
264,120000,34.0
302,130000,36.0
350,140000,44.0
406,150000,52.0
470,160000,61.0
551,170000,79.0
607,180000,56.0
685,190000,74.0
771,200000,85.0
869,210000,97.0
984,220000,113.0
1101,230000,114.0
1242,240000,141.0
1458,250000,216.0
1765,260000,307.0
2092,270000,327.0
2465,280000,373.0
2808,290000,343.0
3116,300000,308.0
3466,310000,350.0
3842,320000,376.0
4220,330000,378.0
4607,340000,387.0
4994,350000,387.0
5398,360000,404.0
5790,370000,392.0
6199,380000,409.0
6615,390000,416.0
7021,400000,406.0
7440,410000,419.0
7847,420000,407.0
8264,430000,417.0
8679,440000,415.0
9093,450000,413.0
9503,460000,410.0
9916,470000,413.0
10316,480000,400.0
10731,490000,415.0
11144,500000,413.0
11548,510000,404.0
11941,520000,393.0
12347,530000,406.0
12753,540000,406.0
13159,550000,406.0
13572,560000,413.0
13990,570000,418.0
14399,580000,409.0
14808,590000,409.0
15223,600000,415.0
15631,610000,408.0
16041,620000,410.0
16445,630000,404.0
16842,640000,397.0
17257,650000,415.0
17677,660000,421.0
18096,670000,418.0
18513,680000,417.0
18921,690000,408.0
19338,700000,417.0
19749,710000,411.0
20148,720000,399.0
20558,730000,410.0
20968,740000,410.0
21387,750000,419.0
21786,760000,399.0
22194,770000,408.0
22613,780000,419.0
23023,790000,410.0
23441,800000,418.0
23855,810000,414.0
24259,820000,404.0
24664,830000,405.0
25073,840000,409.0
25477,850000,404.0
25896,860000,419.0
26305,870000,409.0
26717,880000,412.0
27126,890000,409.0
27544,900000,418.0
27954,910000,410.0
28373,920000,419.0
28785,930000,412.0
29199,940000,414.0
29614,950000,415.0
30026,960000,412.0
30444,970000,418.0
30862,980000,418.0
31270,990000,408.0
31690,1000000,420.0
32105,1010000,415.0
32523,1020000,418.0
32937,1030000,414.0
33344,1040000,407.0
33757,1050000,413.0
34170,1060000,413.0
34582,1070000,412.0
34987,1080000,405.0
35403,1090000,416.0
35814,1100000,411.0
36230,1110000,416.0
36628,1120000,398.0
37020,1130000,392.0
37430,1140000,410.0
37844,1150000,414.0
38259,1160000,415.0
38675,1170000,416.0
39092,1180000,417.0
39504,1190000,412.0
39918,1200000,414.0
40334,1210000,416.0
40749,1220000,415.0
41165,1230000,416.0
41573,1240000,408.0
41984,1250000,411.0
42400,1260000,416.0
42819,1270000,419.0
43229,1280000,410.0
43645,1290000,416.0
44059,1300000,414.0
44469,1310000,410.0
44882,1320000,413.0
45297,1330000,415.0
45711,1340000,414.0
46121,1350000,410.0
46537,1360000,416.0
46956,1370000,419.0
47375,1380000,419.0
47787,1390000,412.0
48204,1400000,417.0
48621,1410000,417.0
49039,1420000,418.0
49455,1430000,416.0
49873,1440000,418.0
50291,1450000,418.0
50703,1460000,412.0
51115,1470000,412.0
51531,1480000,417.0
51946,1490000,414.0
52363,1500000,417.0
52772,1510000,409.0
53190,1520000,418.0
53605,1530000,415.0
54020,1540000,415.0
54434,1550000,414.0
54851,1560000,417.0
55268,1570000,417.0
55683,1580000,415.0
56101,1590000,418.0
56514,1600000,413.0
56930,1610000,416.0
57347,1620000,417.0
57764,1630000,417.0
58172,1640000,408.0
58586,1650000,414.0
59000,1660000,414.0
59411,1670000,411.0
59824,1680000,413.0
60235,1690000,411.0
60651,1700000,416.0
61068,1710000,417.0
61486,1720000,417.0
61904,1730000,418.0
62321,1740000,417.0
62732,1750000,411.0
63141,1760000,409.0
63543,1770000,402.0
63952,1780000,409.0
64364,1790000,411.0
64765,1800000,401.0
65179,1810000,414.0
65594,1820000,415.0
66009,1830000,415.0
66423,1840000,414.0
66838,1850000,415.0
67250,1860000,412.0
67664,1870000,414.0
68083,1880000,420.0
68500,1890000,416.0
68918,1900000,418.0
69335,1910000,418.0
69754,1920000,418.0
70173,1930000,419.0
70585,1940000,412.0
71003,1950000,418.0
71416,1960000,414.0
71821,1970000,403.0
72234,1980000,413.0
72647,1990000,413.0
73063,2000000,416.0
