# {"t_start": 1682495351.7453961, "env_id": "Craft-single-M1-v0"} 
r,l,t
0.0,1000,0.032674
1.0,449,0.047421
0.0,1000,0.079922
0.0,810,0.104929
0.0,1000,0.136033
0.0,1000,0.167434
1.0,463,0.181772
0.0,1000,0.212513
0.0,1000,0.243216
0.0,1000,0.285558
1.0,489,0.300627
0.0,180,0.306262
1.0,922,0.335814
0.0,1000,0.36741
1.0,259,0.375466
0.0,189,0.381372
0.0,544,0.398117
0.0,1000,0.429267
1.0,338,0.439646
1.0,226,0.446623
1.0,456,0.460545
0.0,1000,0.491212
1.0,157,0.495992
1.0,511,0.511878
0.0,611,0.530551
0.0,406,0.543055
0.0,1000,0.577286
0.0,183,0.588479
0.0,838,0.619227
1.0,224,0.625838
0.0,1000,0.657369
1.0,690,0.678643
0.0,1000,0.709549
1.0,469,0.724163
0.0,1000,0.754468
0.0,1000,0.784209
1.0,496,0.798977
0.0,145,0.803341
0.0,268,0.811366
0.0,145,0.81572
0.0,175,0.820975
1.0,457,0.834958
1.0,354,0.845418
0.0,1000,0.874854
1.0,254,0.882305
0.0,1000,0.911362
0.0,1000,0.94041
0.0,173,0.945686
0.0,1000,0.977441
0.0,245,0.985447
1.0,97,0.98839
0.0,628,1.006882
0.0,618,1.024868
0.0,1000,1.054397
1.0,260,1.062187
1.0,690,1.082747
0.0,1000,1.112434
1.0,432,1.125299
1.0,219,1.13182
0.0,1000,1.160985
1.0,379,1.172071
1.0,251,1.179428
1.0,503,1.193927
0.0,1000,1.222705
1.0,136,1.226673
0.0,151,1.231048
1.0,57,1.232737
1.0,612,1.251196
0.0,313,1.260455
1.0,614,1.279548
1.0,169,1.2851
1.0,454,1.298507
1.0,163,1.303241
1.0,660,1.32235
1.0,197,1.328099
1.0,167,1.332947
0.0,1000,1.361904
0.0,102,1.364877
0.0,153,1.369312
0.0,295,1.377885
0.0,69,1.379922
1.0,159,1.384539
0.0,1000,1.413566
0.0,1000,1.442487
1.0,269,1.450425
1.0,838,1.474792
0.0,736,1.496543
1.0,543,1.512458
0.0,1000,1.542331
1.0,186,1.548311
1.0,426,1.561113
0.0,1000,1.591426
1.0,758,1.613925
1.0,426,1.626234
0.0,507,1.641191
0.0,1000,1.671059
0.0,1000,1.701003
0.0,743,1.723197
1.0,214,1.729622
1.0,466,1.743361
1.0,291,1.751884
0.0,1000,1.781001
1.0,159,1.785681
0.0,1000,1.815297
0.0,1000,1.845397
1.0,214,1.852107
1.0,245,1.859651
1.0,833,1.885334
1.0,514,1.900496
1.0,309,1.909577
1.0,84,1.9121
0.0,1000,1.941407
1.0,77,1.943744
0.0,1000,1.973209
1.0,175,1.978417
0.0,1000,2.007965
0.0,1000,2.037336
1.0,869,2.062454
1.0,486,2.076451
1.0,308,2.085309
0.0,1000,2.114223
1.0,713,2.135424
1.0,153,2.140207
1.0,161,2.145282
1.0,296,2.15439
1.0,394,2.166394
1.0,393,2.178108
1.0,867,2.203791
1.0,474,2.217662
1.0,167,2.222539
1.0,371,2.233355
1.0,248,2.240685
1.0,239,2.247768
1.0,992,2.276967
1.0,189,2.282568
1.0,972,2.311175
1.0,218,2.317624
1.0,97,2.320512
1.0,617,2.338579
1.0,242,2.345662
0.0,1000,2.374683
1.0,417,2.386972
1.0,544,2.40306
1.0,491,2.417496
0.0,1000,2.447732
1.0,386,2.45948
1.0,329,2.469469
1.0,75,2.4717
1.0,146,2.476086
1.0,214,2.482679
0.0,489,2.497045
1.0,143,2.501343
1.0,169,2.506351
1.0,176,2.511627
1.0,418,2.524018
1.0,187,2.529666
0.0,1000,2.559246
1.0,47,2.560694
1.0,95,2.563536
1.0,680,2.583677
1.0,629,2.602295
0.0,559,2.618854
0.0,414,2.631088
1.0,81,2.633534
1.0,813,2.657028
1.0,259,2.664551
1.0,89,2.667153
1.0,363,2.677771
1.0,592,2.695252
1.0,480,2.709398
1.0,235,2.716369
0.0,414,2.728935
1.0,73,2.731191
1.0,797,2.755413
1.0,234,2.762682
0.0,1000,2.792732
1.0,73,2.794989
1.0,287,2.80345
1.0,221,2.81012
0.0,537,2.825624
1.0,186,2.831079
1.0,220,2.837472
1.0,397,2.849239
1.0,604,2.867034
1.0,146,2.871382
1.0,169,2.876422
1.0,647,2.895538
1.0,155,2.900128
1.0,189,2.905755
1.0,621,2.924091
1.0,178,2.929449
1.0,233,2.936363
1.0,625,2.954455
1.0,67,2.95644
1.0,250,2.963862
1.0,529,2.979441
1.0,145,2.983747
1.0,640,3.002373
1.0,144,3.006714
1.0,149,3.011054
1.0,616,3.030018
1.0,67,3.032095
1.0,113,3.035505
1.0,198,3.041401
1.0,53,3.043033
1.0,136,3.047088
1.0,572,3.065355
0.0,1000,3.094893
1.0,139,3.099044
1.0,235,3.10597
1.0,141,3.110176
1.0,87,3.11276
0.0,1000,3.142084
