# {"t_start": 1682589101.8586957, "env_id": "Craft-single-M1-v0"} 
r,l,t
0.0,1000,9.561032
0.0,1000,26.88297
0.0,1000,45.151778
0.0,1000,63.895764
0.0,1000,81.55592
0.0,1000,99.226437
0.0,1000,116.972929
0.0,1000,134.562523
0.0,1000,152.205642
0.0,1000,170.083961
0.0,1000,188.118369
0.0,1000,206.01555
0.0,1000,223.653494
0.0,1000,241.461335
0.0,1000,259.278131
0.0,1000,276.883315
0.0,1000,294.586796
0.0,1000,312.307533
0.0,1000,330.084273
0.0,1000,347.906326
0.0,1000,365.664398
0.0,1000,383.49009
0.0,1000,401.22534
0.0,1000,418.936745
0.0,1000,436.560721
0.0,1000,454.368794
0.0,1000,472.391964
1.0,692,484.817028
0.0,1000,502.723653
0.0,1000,520.474926
0.0,1000,538.41257
0.0,1000,555.957272
0.0,1000,573.471122
0.0,1000,591.081609
0.0,1000,608.885184
0.0,1000,625.535407
0.0,1000,643.321667
0.0,1000,660.990431
0.0,1000,678.636295
0.0,1000,696.512784
0.0,1000,714.213686
0.0,1000,731.960032
0.0,1000,749.548916
0.0,1000,767.222201
0.0,1000,784.852994
0.0,1000,802.186985
0.0,1000,819.95665
0.0,1000,837.862154
0.0,1000,855.50896
0.0,1000,873.269686
0.0,1000,890.945967
0.0,1000,908.261381
0.0,1000,926.182619
1.0,691,938.572005
0.0,1000,956.377492
0.0,1000,974.06186
0.0,1000,991.663597
0.0,1000,1009.527928
0.0,1000,1027.250975
0.0,1000,1044.993879
0.0,1000,1062.698157
0.0,1000,1080.524172
0.0,1000,1098.110677
0.0,1000,1115.837478
0.0,1000,1133.72524
1.0,486,1142.323775
0.0,1000,1160.074099
0.0,1000,1177.919354
1.0,854,1193.075901
0.0,1000,1210.537109
0.0,1000,1228.376237
0.0,1000,1246.217867
0.0,1000,1264.069711
0.0,1000,1282.120712
0.0,1000,1299.842324
0.0,1000,1317.500886
0.0,1000,1335.367026
0.0,1000,1352.878474
0.0,1000,1370.916566
0.0,1000,1388.661305
0.0,1000,1406.597503
0.0,1000,1424.3636
1.0,970,1441.875538
0.0,1000,1459.715362
0.0,1000,1477.571871
0.0,1000,1495.357368
0.0,1000,1513.300523
0.0,1000,1531.198313
0.0,1000,1549.298527
0.0,1000,1567.311983
0.0,1000,1585.221643
0.0,1000,1603.077822
0.0,1000,1621.076272
0.0,1000,1639.143205
0.0,1000,1657.054902
0.0,1000,1675.014376
0.0,1000,1692.791796
0.0,1000,1710.662223
0.0,1000,1728.205428
0.0,1000,1746.158813
0.0,1000,1763.849715
0.0,1000,1781.675605
0.0,1000,1799.510336
0.0,1000,1817.584183
0.0,1000,1835.468502
0.0,1000,1853.31898
0.0,1000,1871.221084
0.0,1000,1889.20197
0.0,1000,1907.069484
0.0,1000,1924.760722
0.0,1000,1942.331292
0.0,1000,1960.224092
0.0,1000,1977.869741
0.0,1000,1995.75467
0.0,1000,2013.687559
0.0,1000,2031.450562
0.0,1000,2049.190496
0.0,1000,2066.194574
0.0,1000,2082.687734
0.0,1000,2099.344878
0.0,1000,2115.882069
0.0,1000,2132.183997
1.0,761,2144.470365
0.0,1000,2160.784272
0.0,1000,2176.829647
0.0,1000,2192.973055
0.0,1000,2209.044295
1.0,884,2223.291734
0.0,1000,2239.277159
0.0,1000,2255.497233
0.0,1000,2271.738091
0.0,1000,2287.915783
0.0,1000,2304.148138
0.0,1000,2320.177756
0.0,1000,2336.163715
0.0,1000,2352.167468
0.0,1000,2368.113515
1.0,608,2377.825425
0.0,1000,2393.976767
0.0,1000,2410.153124
0.0,1000,2426.205724
0.0,1000,2442.340571
0.0,1000,2458.679914
0.0,1000,2474.760787
1.0,771,2487.161233
0.0,1000,2503.243286
0.0,1000,2519.290543
0.0,1000,2535.531145
0.0,1000,2551.507996
1.0,957,2566.885353
0.0,1000,2583.06392
0.0,1000,2599.028644
0.0,1000,2614.944128
0.0,1000,2630.887074
0.0,1000,2646.837425
0.0,1000,2661.507074
0.0,1000,2675.9942
0.0,1000,2690.579547
0.0,1000,2705.041392
0.0,1000,2719.430303
0.0,1000,2733.868227
0.0,1000,2748.503564
0.0,1000,2762.857072
0.0,1000,2777.209544
0.0,1000,2791.931387
0.0,1000,2806.487839
0.0,1000,2821.006613
1.0,696,2831.067848
0.0,1000,2845.442474
0.0,1000,2859.860368
0.0,1000,2874.255636
0.0,1000,2888.641174
0.0,1000,2902.899526
0.0,1000,2917.292251
0.0,1000,2931.756196
0.0,1000,2946.16443
0.0,1000,2960.439081
0.0,1000,2974.773365
0.0,1000,2989.155125
0.0,1000,3003.461607
0.0,1000,3017.774548
0.0,1000,3032.123085
0.0,1000,3046.570577
0.0,1000,3061.071635
0.0,1000,3075.556966
0.0,1000,3090.11216
0.0,1000,3104.779687
0.0,1000,3119.165488
0.0,1000,3133.588125
0.0,1000,3148.112463
0.0,1000,3162.409111
0.0,1000,3176.798788
0.0,1000,3191.082108
0.0,1000,3205.625096
0.0,1000,3220.088781
0.0,1000,3234.431715
0.0,1000,3248.923171
0.0,1000,3263.372359
0.0,1000,3277.69354
0.0,1000,3292.058977
0.0,1000,3306.459903
0.0,1000,3320.839776
0.0,1000,3335.317883
0.0,1000,3350.070336
0.0,1000,3364.529681
0.0,1000,3378.921896
0.0,1000,3393.660547
0.0,1000,3408.085819
0.0,1000,3422.535404
0.0,1000,3436.856953
0.0,1000,3451.160275
0.0,1000,3465.700572
0.0,1000,3480.131209
0.0,1000,3494.576681
0.0,1000,3509.098992
0.0,1000,3523.641004
0.0,1000,3538.083586
0.0,1000,3552.686298
0.0,1000,3567.117038
0.0,1000,3581.530879
0.0,1000,3596.056708
0.0,1000,3610.41484
0.0,1000,3624.76042
0.0,1000,3639.188629
0.0,1000,3653.616491
0.0,1000,3667.92311
0.0,1000,3682.207345
0.0,1000,3696.621796
0.0,1000,3711.195214
0.0,1000,3725.659682
0.0,1000,3740.140651
0.0,1000,3754.702205
0.0,1000,3769.182583
0.0,1000,3783.741695
0.0,1000,3798.353849
0.0,1000,3812.723971
0.0,1000,3827.333348
0.0,1000,3841.975682
0.0,1000,3856.675949
0.0,1000,3871.309734
0.0,1000,3885.935033
0.0,1000,3900.566976
0.0,1000,3915.204986
0.0,1000,3929.796651
0.0,1000,3944.497357
0.0,1000,3959.044154
0.0,1000,3973.651926
0.0,1000,3988.351399
0.0,1000,4003.278091
0.0,1000,4018.301893
0.0,1000,4033.61398
0.0,1000,4049.036224
0.0,1000,4064.735407
0.0,1000,4081.560408
0.0,1000,4098.472983
0.0,1000,4115.245852
0.0,1000,4132.138472
0.0,1000,4148.913348
0.0,1000,4164.165706
0.0,1000,4178.751783
0.0,1000,4193.512017
0.0,1000,4208.216313
0.0,1000,4223.106339
0.0,1000,4237.877643
0.0,1000,4252.718285
0.0,1000,4267.432774
0.0,1000,4281.968769
0.0,1000,4296.7468
0.0,1000,4311.426061
0.0,1000,4326.210192
0.0,1000,4340.900672
0.0,1000,4355.558168
0.0,1000,4370.13175
0.0,1000,4385.040646
0.0,1000,4399.818702
0.0,1000,4414.609946
0.0,1000,4429.295292
0.0,1000,4443.975527
0.0,1000,4458.847334
0.0,1000,4473.581357
0.0,1000,4488.32513
0.0,1000,4503.027408
0.0,1000,4517.982649
0.0,1000,4532.531176
0.0,1000,4547.248474
0.0,1000,4562.064423
0.0,1000,4576.911811
0.0,1000,4591.643811
0.0,1000,4606.440253
0.0,1000,4621.319863
0.0,1000,4635.907073
0.0,1000,4650.663682
0.0,1000,4665.564736
0.0,1000,4680.338231
0.0,1000,4694.705527
0.0,1000,4709.209878
0.0,1000,4723.827268
0.0,1000,4738.363181
0.0,1000,4752.822302
0.0,1000,4767.431476
0.0,1000,4781.980325
0.0,1000,4796.725367
0.0,1000,4811.249467
0.0,1000,4825.83938
0.0,1000,4840.229264
0.0,1000,4855.005784
0.0,1000,4869.502257
0.0,1000,4884.06993
0.0,1000,4898.83624
0.0,1000,4913.381854
0.0,1000,4928.057348
0.0,1000,4942.65421
0.0,1000,4957.178765
0.0,1000,4971.852323
0.0,1000,4986.378894
0.0,1000,5000.901655
0.0,1000,5015.494561
0.0,1000,5030.190037
0.0,1000,5044.793435
0.0,1000,5059.360435
0.0,1000,5074.025096
0.0,1000,5088.688359
0.0,1000,5103.304167
0.0,1000,5117.819357
0.0,1000,5132.288412
0.0,1000,5146.835008
0.0,1000,5160.520655
0.0,1000,5173.539864
0.0,1000,5186.628486
0.0,1000,5199.684161
0.0,1000,5212.747424
0.0,1000,5225.76713
0.0,1000,5238.737859
0.0,1000,5251.700952
0.0,1000,5264.645077
0.0,1000,5277.479514
0.0,1000,5290.45746
0.0,1000,5303.402036
0.0,1000,5316.323628
0.0,1000,5329.136607
0.0,1000,5342.228996
0.0,1000,5355.101865
0.0,1000,5368.005227
0.0,1000,5380.842279
0.0,1000,5393.784349
0.0,1000,5406.823681
0.0,1000,5419.851691
0.0,1000,5432.639733
0.0,1000,5445.458339
1.0,674,5454.335733
0.0,1000,5467.172348
0.0,1000,5480.003485
0.0,1000,5492.955117
0.0,1000,5505.857239
0.0,1000,5518.800184
0.0,1000,5531.693171
0.0,1000,5544.602979
0.0,1000,5557.452877
0.0,1000,5570.341892
0.0,1000,5583.167226
0.0,1000,5596.155506
0.0,1000,5609.061264
0.0,1000,5622.058329
0.0,1000,5634.913619
0.0,1000,5647.910677
0.0,1000,5660.768149
0.0,1000,5673.700642
0.0,1000,5686.570258
0.0,1000,5699.616192
0.0,1000,5712.610736
0.0,1000,5725.527423
0.0,1000,5738.403321
0.0,1000,5751.478258
0.0,1000,5764.465341
0.0,1000,5777.3405
0.0,1000,5790.233658
0.0,1000,5803.051708
0.0,1000,5816.078462
0.0,1000,5828.977985
0.0,1000,5842.011563
0.0,1000,5854.878949
0.0,1000,5867.617144
0.0,1000,5880.471857
0.0,1000,5893.431274
0.0,1000,5906.317705
0.0,1000,5919.148103
0.0,1000,5932.018961
0.0,1000,5944.871945
0.0,1000,5957.874192
0.0,1000,5970.680213
0.0,1000,5983.572901
0.0,1000,5996.444282
0.0,1000,6009.241707
0.0,1000,6022.115004
0.0,1000,6034.95197
0.0,1000,6047.944068
0.0,1000,6060.797599
0.0,1000,6073.548843
0.0,1000,6086.407472
0.0,1000,6099.555627
0.0,1000,6112.471428
0.0,1000,6125.305208
0.0,1000,6138.288289
0.0,1000,6151.195346
0.0,1000,6164.157749
0.0,1000,6177.031408
0.0,1000,6189.878243
0.0,1000,6202.763763
0.0,1000,6215.631398
0.0,1000,6228.575417
0.0,1000,6241.528054
0.0,1000,6254.330636
0.0,1000,6267.292382
0.0,1000,6280.136055
0.0,1000,6293.089759
0.0,1000,6305.9303
0.0,1000,6318.86398
0.0,1000,6331.888734
0.0,1000,6344.909383
0.0,1000,6357.830411
0.0,1000,6370.756652
0.0,1000,6383.647627
0.0,1000,6396.542546
0.0,1000,6409.352224
0.0,1000,6422.332099
0.0,1000,6435.249794
0.0,1000,6448.261233
0.0,1000,6461.188839
0.0,1000,6474.148991
0.0,1000,6486.997695
0.0,1000,6499.806599
0.0,1000,6512.716523
0.0,1000,6525.509861
0.0,1000,6538.568992
0.0,1000,6551.414151
0.0,1000,6564.265678
0.0,1000,6576.991169
0.0,1000,6589.904531
0.0,1000,6602.708753
0.0,1000,6615.901915
0.0,1000,6630.2615
0.0,1000,6644.538381
1.0,843,6656.755625
0.0,1000,6671.122548
0.0,1000,6685.442427
0.0,1000,6699.995901
0.0,1000,6714.299021
0.0,1000,6728.740758
0.0,1000,6743.173572
0.0,1000,6757.421265
0.0,1000,6771.98508
0.0,1000,6786.2708
0.0,1000,6800.819824
0.0,1000,6815.137129
0.0,1000,6829.375766
0.0,1000,6843.775041
0.0,1000,6858.068753
0.0,1000,6872.37
0.0,1000,6886.77702
0.0,1000,6901.11593
0.0,1000,6915.431082
0.0,1000,6929.827042
0.0,1000,6944.181251
0.0,1000,6958.533048
0.0,1000,6972.932012
0.0,1000,6987.414482
0.0,1000,7001.820015
0.0,1000,7016.142527
0.0,1000,7030.436918
0.0,1000,7044.756767
0.0,1000,7059.049419
0.0,1000,7073.346627
0.0,1000,7087.316051
1.0,887,7100.013683
0.0,1000,7114.24381
0.0,1000,7128.566228
0.0,1000,7142.824139
0.0,1000,7157.066025
0.0,1000,7171.252517
0.0,1000,7185.492552
0.0,1000,7199.758257
0.0,1000,7214.160128
0.0,1000,7228.384161
0.0,1000,7242.761546
0.0,1000,7257.122085
0.0,1000,7271.400983
0.0,1000,7285.696215
0.0,1000,7300.053266
0.0,1000,7314.417289
0.0,1000,7328.672157
0.0,1000,7343.015842
0.0,1000,7357.407175
0.0,1000,7371.71387
0.0,1000,7386.053727
0.0,1000,7400.380035
0.0,1000,7414.791745
0.0,1000,7428.875647
0.0,1000,7443.080404
0.0,1000,7456.194096
0.0,1000,7469.354866
0.0,1000,7482.377819
0.0,1000,7495.352136
0.0,1000,7508.445927
0.0,1000,7521.440117
0.0,1000,7534.504046
0.0,1000,7547.777983
0.0,1000,7560.728705
0.0,1000,7574.014059
0.0,1000,7587.098956
0.0,1000,7600.113506
0.0,1000,7613.329214
0.0,1000,7626.674109
0.0,1000,7639.78056
0.0,1000,7653.895099
0.0,1000,7666.959872
0.0,1000,7681.088646
0.0,1000,7695.964367
0.0,1000,7710.418065
0.0,1000,7724.131213
0.0,1000,7738.37033
0.0,1000,7752.756661
0.0,1000,7766.960042
0.0,1000,7780.241373
0.0,1000,7794.821443
0.0,1000,7808.235659
0.0,1000,7822.456537
0.0,1000,7836.52386
0.0,1000,7850.292532
0.0,1000,7863.415605
0.0,1000,7878.932362
0.0,1000,7892.338688
0.0,1000,7906.676769
0.0,1000,7920.555467
0.0,1000,7934.432009
0.0,1000,7948.062693
0.0,1000,7961.411083
0.0,1000,7976.860966
0.0,1000,7993.036083
1.0,745,8004.837273
0.0,1000,8021.228593
0.0,1000,8037.435553
0.0,1000,8053.846378
0.0,1000,8070.495488
0.0,1000,8087.296201
0.0,1000,8103.839743
0.0,1000,8120.818721
0.0,1000,8136.843264
0.0,1000,8150.767283
0.0,1000,8163.969672
0.0,1000,8177.038887
0.0,1000,8190.221416
0.0,1000,8204.337778
0.0,1000,8218.214023
0.0,1000,8232.042705
0.0,1000,8246.445926
0.0,1000,8259.836998
0.0,1000,8273.620738
0.0,1000,8287.5813
0.0,1000,8300.705154
0.0,1000,8314.819842
