episodes,steps,total reward
9,10000,4.0
19,20000,4.0
29,30000,2.0
39,40000,8.0
49,50000,0.0
59,60000,2.0
69,70000,4.0
79,80000,0.0
89,90000,0.0
99,100000,4.0
109,110000,4.0
119,120000,76.0
129,130000,4.0
139,140000,6.0
149,150000,45.0
159,160000,8.0
169,170000,6.0
179,180000,6.0
189,190000,188.0
199,200000,261.0
209,210000,315.0
219,220000,46.0
229,230000,247.0
239,240000,1013.0
249,250000,270.0
259,260000,323.0
269,270000,387.0
279,280000,858.0
289,290000,240.0
299,300000,751.0
309,310000,335.0
319,320000,636.0
329,330000,1014.0
339,340000,948.0
349,350000,712.0
359,360000,586.0
369,370000,826.0
379,380000,698.0
389,390000,851.0
399,400000,548.0
409,410000,1485.0
419,420000,1348.0
429,430000,717.0
439,440000,1500.0
449,450000,1333.0
459,460000,875.0
469,470000,2145.0
479,480000,1414.0
489,490000,1712.0
499,500000,1525.0
509,510000,1904.0
519,520000,2220.0
529,530000,1731.0
539,540000,2416.0
549,550000,1260.0
559,560000,2620.0
569,570000,2245.0
579,580000,1613.0
589,590000,2019.0
599,600000,2284.0
609,610000,2952.0
619,620000,2716.0
629,630000,2436.0
639,640000,2493.0
649,650000,2581.0
659,660000,2462.0
669,670000,2466.0
679,680000,2853.0
689,690000,2367.0
699,700000,2897.0
709,710000,3114.0
719,720000,2822.0
729,730000,3176.0
739,740000,2663.0
749,750000,2910.0
759,760000,3033.0
769,770000,2856.0
779,780000,2650.0
789,790000,3212.0
799,800000,3093.0
809,810000,2894.0
819,820000,3541.0
829,830000,2799.0
839,840000,3086.0
849,850000,3064.0
859,860000,3138.0
869,870000,3082.0
879,880000,3313.0
889,890000,2534.0
899,900000,3585.0
909,910000,3665.0
919,920000,3484.0
929,930000,3286.0
939,940000,3072.0
949,950000,3229.0
959,960000,3376.0
969,970000,3830.0
979,980000,3243.0
989,990000,3940.0
999,1000000,3539.0
1009,1010000,3387.0
1019,1020000,3000.0
1029,1030000,3694.0
1039,1040000,3337.0
1049,1050000,3887.0
1059,1060000,3573.0
1069,1070000,3731.0
1079,1080000,3597.0
1089,1090000,3855.0
1099,1100000,3362.0
1109,1110000,3771.0
1119,1120000,3856.0
1129,1130000,3849.0
1139,1140000,3997.0
1149,1150000,3298.0
1159,1160000,4111.0
1169,1170000,3714.0
1179,1180000,3721.0
1189,1190000,3875.0
1199,1200000,3962.0
1209,1210000,3625.0
1219,1220000,3382.0
1229,1230000,3829.0
1239,1240000,4009.0
1249,1250000,3473.0
1259,1260000,3698.0
1269,1270000,3036.0
1279,1280000,3943.0
1289,1290000,3964.0
1299,1300000,3202.0
1309,1310000,3914.0
1319,1320000,3969.0
1329,1330000,3812.0
1339,1340000,3369.0
1349,1350000,3981.0
1359,1360000,3812.0
1369,1370000,3948.0
1379,1380000,3422.0
1389,1390000,4043.0
1399,1400000,3427.0
1409,1410000,4015.0
1419,1420000,3951.0
1429,1430000,3489.0
1439,1440000,4001.0
1449,1450000,3762.0
1459,1460000,4079.0
1469,1470000,4007.0
1479,1480000,4017.0
1489,1490000,3660.0
1499,1500000,3887.0
1509,1510000,4023.0
1519,1520000,3788.0
1529,1530000,3630.0
1539,1540000,3932.0
1549,1550000,3985.0
1559,1560000,3742.0
1569,1570000,3874.0
1579,1580000,3961.0
1589,1590000,3516.0
1599,1600000,3769.0
1609,1610000,4039.0
1619,1620000,3316.0
1629,1630000,3912.0
1639,1640000,4046.0
1649,1650000,4005.0
1659,1660000,3924.0
1669,1670000,4136.0
1679,1680000,4132.0
1689,1690000,3973.0
1699,1700000,3737.0
1709,1710000,4121.0
1719,1720000,4129.0
1729,1730000,4140.0
1739,1740000,4119.0
1749,1750000,3991.0
1759,1760000,4035.0
1769,1770000,4070.0
1779,1780000,3954.0
1789,1790000,3763.0
1799,1800000,4109.0
1809,1810000,4097.0
1819,1820000,4120.0
1829,1830000,3831.0
1839,1840000,3760.0
1849,1850000,3852.0
1859,1860000,4085.0
1869,1870000,3811.0
1879,1880000,4130.0
1889,1890000,4183.0
1899,1900000,4038.0
1909,1910000,4093.0
1919,1920000,4076.0
1929,1930000,4027.0
1939,1940000,4094.0
1949,1950000,4142.0
1959,1960000,4191.0
1969,1970000,4183.0
1979,1980000,3821.0
1989,1990000,3954.0
1999,2000000,4108.0
