# {"t_start": 1682589018.1166174, "env_id": "Craft-single-M1-v0"} 
r,l,t
1.0,963,8.837219
0.0,183,11.551749
1.0,452,18.089526
0.0,1000,33.402791
0.0,1000,49.049107
1.0,797,61.175622
0.0,1000,76.924561
0.0,1000,93.909571
1.0,209,97.409156
0.0,1000,114.207239
1.0,940,133.171724
0.0,814,148.412266
1.0,952,165.246258
0.0,1000,182.944952
1.0,849,198.00714
0.0,1000,215.807739
0.0,690,228.13574
1.0,753,241.601507
0.0,1000,259.489932
1.0,936,276.349592
0.0,425,283.784048
0.0,221,287.691042
1.0,533,297.331111
1.0,684,309.395889
1.0,260,314.004694
1.0,87,315.577989
0.0,1000,333.063709
1.0,356,339.417846
0.0,360,345.663804
0.0,1000,363.103462
1.0,638,374.289999
1.0,502,383.110259
0.0,1000,400.745309
0.0,1000,418.373377
1.0,898,434.572073
1.0,113,436.620677
1.0,165,439.556947
1.0,281,444.540514
1.0,336,450.461693
1.0,993,468.032943
1.0,176,471.078471
0.0,229,475.162796
1.0,182,478.419384
1.0,107,480.305919
1.0,393,487.165562
0.0,1000,504.825418
0.0,414,512.059096
0.0,627,523.141217
0.0,1000,540.884818
1.0,325,546.687119
0.0,683,558.984492
0.0,1000,576.840462
1.0,110,578.789622
0.0,1000,596.505881
0.0,1000,614.139689
1.0,449,621.920555
1.0,154,624.637437
1.0,442,632.499454
0.0,191,635.760508
0.0,701,648.108293
1.0,281,652.972279
1.0,367,659.391406
0.0,903,675.223413
0.0,1000,692.717358
1.0,295,697.67232
1.0,123,699.588953
0.0,425,706.395452
0.0,350,712.521671
0.0,376,719.120864
0.0,546,728.803313
1.0,149,731.434444
1.0,468,739.762809
1.0,752,752.920461
1.0,249,757.17531
1.0,97,758.903429
0.0,1000,776.543301
1.0,102,778.302294
1.0,232,782.30455
1.0,243,786.529227
1.0,253,790.970538
0.0,561,800.785693
0.0,1000,818.319955
0.0,518,827.458599
1.0,333,833.298831
1.0,549,842.882322
1.0,138,845.29456
1.0,179,848.530236
1.0,916,864.602159
1.0,75,865.990943
0.0,879,881.658508
0.0,1000,899.163002
1.0,73,900.441793
1.0,792,914.632443
0.0,901,930.518722
0.0,710,942.979977
0.0,93,944.559171
0.0,117,946.587072
1.0,537,956.025092
1.0,129,958.356557
1.0,79,959.737609
1.0,57,960.671666
0.0,122,962.738105
0.0,453,970.721865
1.0,343,976.415421
0.0,560,985.895991
1.0,198,989.311093
1.0,49,990.201164
0.0,369,996.441904
1.0,204,999.996653
0.0,876,1015.550493
1.0,765,1029.104934
0.0,109,1031.029519
0.0,145,1033.627877
0.0,283,1038.650993
1.0,181,1041.995401
0.0,132,1044.347123
1.0,591,1054.817917
0.0,1000,1072.719472
1.0,93,1074.378663
0.0,527,1083.768722
1.0,893,1099.624955
0.0,323,1105.413017
1.0,190,1108.749711
0.0,908,1124.711623
0.0,791,1138.635708
1.0,51,1139.543216
1.0,767,1152.994502
1.0,106,1154.851053
1.0,65,1156.007029
1.0,397,1163.086795
0.0,79,1164.470875
0.0,221,1168.437622
0.0,236,1172.61699
1.0,379,1179.21332
1.0,377,1186.011949
0.0,102,1187.791274
0.0,133,1190.107961
1.0,99,1191.864854
1.0,145,1194.462102
0.0,325,1200.368191
0.0,688,1212.549547
0.0,77,1213.924341
0.0,186,1217.115143
1.0,51,1218.019496
1.0,94,1219.696464
0.0,542,1229.20787
0.0,1000,1246.969419
1.0,408,1254.100549
0.0,170,1257.025843
0.0,361,1263.337659
0.0,273,1268.120384
0.0,171,1271.214481
0.0,775,1284.739435
0.0,1000,1302.52642
0.0,86,1304.061954
0.0,382,1310.761103
0.0,52,1311.74943
1.0,144,1314.276308
0.0,774,1327.898448
0.0,63,1328.965728
1.0,35,1329.57607
0.0,436,1337.162436
1.0,291,1342.239863
1.0,283,1347.148258
1.0,210,1350.873409
0.0,51,1351.79671
0.0,775,1365.534036
1.0,278,1370.41705
1.0,61,1371.45134
1.0,447,1379.34449
1.0,465,1387.626412
0.0,543,1397.224405
0.0,179,1400.422336
1.0,74,1401.730767
0.0,108,1403.66047
0.0,32,1404.208676
0.0,371,1410.769315
0.0,688,1423.194952
1.0,179,1426.331954
0.0,58,1427.317905
1.0,155,1430.009059
0.0,181,1433.286165
1.0,224,1437.291386
1.0,241,1441.552977
1.0,392,1448.469765
0.0,1000,1466.205794
0.0,154,1468.941389
0.0,1000,1486.687662
1.0,100,1488.446019
0.0,277,1493.312742
1.0,222,1497.228688
1.0,128,1499.447292
0.0,170,1502.524235
1.0,37,1503.183268
0.0,304,1508.522198
0.0,51,1509.431968
0.0,600,1520.122168
0.0,47,1520.994713
0.0,625,1532.09256
1.0,836,1547.007261
1.0,96,1548.752606
0.0,220,1552.60534
1.0,351,1558.849522
0.0,222,1562.826261
0.0,494,1571.434777
1.0,37,1572.118699
1.0,160,1574.944276
0.0,85,1576.510768
1.0,130,1578.842484
1.0,155,1581.655805
1.0,153,1584.367571
0.0,418,1591.772801
1.0,522,1600.963851
1.0,601,1611.414479
1.0,112,1613.381292
1.0,85,1614.873748
1.0,47,1615.643538
0.0,703,1628.397484
0.0,44,1629.186848
1.0,371,1635.706144
1.0,67,1636.90046
0.0,100,1638.65698
0.0,297,1643.855696
0.0,67,1645.057934
1.0,654,1656.813945
1.0,147,1659.347173
1.0,37,1660.004855
1.0,95,1661.726448
1.0,45,1662.538945
0.0,208,1666.239305
0.0,1000,1684.166527
0.0,253,1688.609134
0.0,285,1693.675036
1.0,77,1695.0009
0.0,100,1696.811013
0.0,158,1699.59385
0.0,261,1704.292223
1.0,47,1705.087642
1.0,51,1705.98611
0.0,57,1706.995141
1.0,63,1708.115537
0.0,30,1708.664246
0.0,338,1714.670759
1.0,141,1717.121007
0.0,249,1721.520072
1.0,121,1723.756666
1.0,39,1724.466613
1.0,366,1731.107829
0.0,459,1739.21733
1.0,67,1740.449013
1.0,877,1756.056178
0.0,39,1756.787466
0.0,70,1758.042995
1.0,189,1761.313335
0.0,665,1772.990747
0.0,313,1778.569969
1.0,540,1788.092657
1.0,65,1789.246487
1.0,253,1793.752
1.0,65,1794.914651
0.0,509,1803.995218
0.0,144,1806.599429
0.0,44,1807.398681
0.0,392,1814.365717
1.0,29,1814.906234
0.0,37,1815.570043
1.0,534,1824.979846
0.0,58,1826.017685
0.0,108,1827.989841
0.0,225,1831.906042
1.0,53,1832.787088
0.0,64,1834.006726
1.0,133,1836.411819
1.0,100,1838.207367
0.0,74,1839.544092
0.0,440,1847.50246
0.0,363,1854.009716
0.0,362,1860.383513
1.0,159,1863.198583
0.0,45,1864.025063
0.0,417,1871.419396
0.0,152,1874.140941
0.0,499,1882.956145
0.0,355,1889.359102
0.0,511,1898.298916
1.0,125,1900.484854
1.0,541,1910.069429
1.0,546,1919.610352
0.0,80,1921.079768
0.0,167,1924.118579
1.0,629,1935.344424
0.0,359,1941.667405
0.0,77,1943.077269
1.0,599,1953.816518
1.0,556,1963.609403
0.0,33,1964.156919
0.0,77,1965.512167
1.0,148,1968.112582
1.0,93,1969.763332
0.0,534,1979.233395
1.0,59,1980.262678
1.0,254,1984.652004
1.0,299,1989.950897
1.0,571,1999.806033
0.0,74,2001.111157
1.0,31,2001.643026
1.0,415,2009.068743
0.0,82,2010.518039
0.0,92,2012.155054
0.0,206,2015.738161
0.0,1000,2033.561491
0.0,580,2043.891832
1.0,294,2049.128824
1.0,378,2055.856393
0.0,759,2069.570184
1.0,142,2072.108248
1.0,392,2079.085917
0.0,398,2086.276053
1.0,69,2087.500322
1.0,103,2089.29521
1.0,830,2104.115872
1.0,172,2107.217507
0.0,292,2112.457194
0.0,549,2122.297002
1.0,251,2126.792236
0.0,187,2130.111197
0.0,110,2132.066052
1.0,119,2134.213584
0.0,121,2136.432682
0.0,146,2138.989013
0.0,204,2142.524278
0.0,294,2147.32335
1.0,82,2148.711636
0.0,64,2149.778166
0.0,580,2159.401894
1.0,71,2160.616266
1.0,329,2165.91541
1.0,33,2166.441142
0.0,39,2167.104191
0.0,500,2175.242722
1.0,705,2187.012621
1.0,35,2187.56028
0.0,340,2193.145568
0.0,674,2204.132336
0.0,75,2205.308994
0.0,366,2211.143858
0.0,505,2219.42401
1.0,37,2220.029256
0.0,343,2225.612656
0.0,1000,2242.016665
1.0,94,2243.536459
1.0,691,2254.593038
1.0,103,2256.256905
0.0,173,2259.048007
1.0,190,2262.077674
1.0,31,2262.563982
1.0,35,2263.135455
1.0,131,2265.225019
1.0,49,2266.020122
1.0,103,2267.651608
1.0,227,2271.421563
1.0,35,2271.96532
1.0,244,2275.93556
0.0,37,2276.53687
1.0,132,2278.679102
1.0,59,2279.585844
1.0,319,2284.687372
1.0,53,2285.53018
0.0,181,2288.381475
0.0,402,2294.943157
1.0,30,2295.441268
1.0,40,2296.058488
0.0,487,2303.90223
1.0,31,2304.391932
1.0,235,2308.145256
1.0,670,2318.942547
0.0,153,2321.407778
1.0,117,2323.310774
1.0,113,2325.198219
0.0,101,2326.844746
1.0,143,2329.113131
1.0,81,2330.442286
1.0,31,2330.949228
0.0,457,2338.360985
0.0,187,2341.281654
1.0,270,2345.60172
0.0,136,2347.788137
1.0,45,2348.475912
0.0,194,2351.634237
0.0,171,2354.302499
1.0,493,2362.18184
0.0,323,2367.310096
0.0,209,2370.640021
1.0,37,2371.21146
1.0,228,2374.88956
1.0,655,2385.451001
0.0,27,2385.850993
1.0,39,2386.496358
0.0,114,2388.359217
0.0,236,2392.198295
0.0,31,2392.680243
1.0,29,2393.16385
1.0,107,2394.928916
0.0,125,2396.912587
1.0,291,2401.55053
0.0,471,2409.154821
1.0,313,2414.254302
1.0,45,2414.9733
0.0,143,2417.323772
0.0,40,2417.958881
1.0,43,2418.632781
0.0,163,2421.28629
1.0,37,2421.876301
0.0,402,2428.359245
1.0,61,2429.32905
1.0,27,2429.771186
1.0,128,2431.836051
0.0,1000,2447.985738
1.0,45,2448.719508
0.0,422,2455.538221
0.0,45,2456.251508
0.0,133,2458.42322
0.0,305,2463.361744
0.0,97,2464.949071
1.0,29,2465.420597
0.0,50,2466.264768
1.0,47,2467.010679
0.0,21,2467.343767
0.0,113,2469.151985
1.0,39,2469.818233
0.0,160,2472.357625
0.0,198,2475.569422
1.0,23,2475.939666
0.0,233,2479.688774
0.0,103,2481.372699
1.0,49,2482.15221
0.0,29,2482.596082
1.0,713,2493.994297
1.0,29,2494.474199
1.0,45,2495.169682
1.0,33,2495.692594
1.0,25,2496.087869
1.0,89,2497.51012
0.0,339,2502.952767
1.0,69,2504.045283
0.0,25,2504.431132
0.0,226,2508.134572
1.0,90,2509.545146
1.0,584,2518.894011
1.0,389,2525.139009
1.0,93,2526.634684
1.0,127,2528.695367
1.0,23,2529.070681
0.0,266,2533.359709
1.0,23,2533.74482
1.0,33,2534.250984
1.0,75,2535.419383
0.0,149,2537.826905
1.0,37,2538.428338
1.0,43,2539.079031
1.0,39,2539.697216
1.0,31,2540.188025
1.0,174,2543.029488
1.0,375,2549.07059
1.0,35,2549.63408
1.0,273,2554.03485
1.0,51,2554.836471
1.0,33,2555.33226
1.0,29,2555.79017
1.0,27,2556.210701
1.0,29,2556.655445
1.0,53,2557.512813
1.0,41,2558.141266
1.0,433,2565.002149
1.0,55,2565.943697
1.0,63,2566.956341
1.0,31,2567.490514
1.0,23,2567.845053
1.0,31,2568.364661
1.0,33,2568.858639
1.0,49,2569.656735
0.0,340,2575.072128
0.0,234,2578.858303
1.0,31,2579.35959
0.0,67,2580.411583
0.0,605,2590.272311
1.0,117,2592.10752
0.0,125,2594.154128
1.0,37,2594.745379
1.0,767,2607.09437
1.0,55,2607.982687
1.0,217,2611.506634
1.0,136,2613.700184
0.0,412,2620.322804
1.0,41,2620.995302
1.0,25,2621.395538
1.0,31,2621.912717
1.0,175,2624.681352
1.0,135,2626.81268
1.0,23,2627.161645
0.0,166,2629.755591
1.0,37,2630.358965
0.0,181,2633.169919
1.0,39,2633.79254
1.0,118,2635.680613
1.0,272,2639.961939
1.0,31,2640.44731
1.0,45,2641.14011
1.0,55,2642.02942
1.0,49,2642.844497
1.0,23,2643.214102
1.0,57,2644.124292
1.0,67,2645.154306
0.0,141,2647.430033
1.0,55,2648.318518
1.0,87,2649.696409
1.0,33,2650.219502
1.0,101,2651.836933
1.0,162,2654.433409
1.0,83,2655.713952
1.0,27,2656.177241
1.0,111,2657.912611
1.0,43,2658.633304
0.0,74,2659.839947
1.0,85,2661.243851
1.0,103,2662.849186
1.0,67,2663.89829
0.0,113,2665.74014
1.0,73,2666.908294
1.0,107,2668.668163
0.0,129,2670.836585
1.0,29,2671.309112
1.0,29,2671.775689
1.0,63,2672.759826
1.0,57,2673.65051
1.0,57,2674.581305
1.0,45,2675.362703
1.0,37,2675.967949
1.0,51,2676.753043
0.0,98,2678.344729
1.0,29,2678.842464
1.0,75,2680.017272
1.0,35,2680.562869
1.0,55,2681.432854
1.0,29,2681.868032
1.0,49,2682.646526
1.0,115,2684.493272
1.0,29,2684.97585
1.0,41,2685.632674
1.0,31,2686.11851
1.0,39,2686.753583
1.0,144,2689.057734
1.0,31,2689.54149
1.0,63,2690.554708
1.0,35,2691.153087
1.0,344,2696.679764
1.0,101,2698.373905
1.0,45,2699.07497
1.0,47,2699.829937
0.0,39,2700.492913
1.0,31,2701.00239
1.0,97,2702.568655
1.0,59,2703.491235
1.0,73,2704.626145
1.0,41,2705.299147
1.0,29,2705.760803
1.0,51,2706.551396
1.0,29,2707.038655
1.0,35,2707.612563
1.0,51,2708.480207
1.0,33,2708.999909
1.0,35,2709.528352
1.0,83,2710.877004
1.0,25,2711.286145
1.0,25,2711.693029
1.0,23,2712.097892
1.0,29,2712.541398
1.0,47,2713.304918
1.0,33,2713.810054
1.0,23,2714.215827
1.0,35,2714.7824
1.0,35,2715.357833
1.0,35,2715.902502
1.0,57,2716.846199
1.0,33,2717.371388
1.0,25,2717.771385
0.0,32,2718.316733
1.0,67,2719.42585
1.0,33,2719.942443
0.0,39,2720.598527
0.0,106,2722.327954
1.0,63,2723.309205
1.0,29,2723.785799
1.0,49,2724.559837
1.0,343,2729.981633
1.0,37,2730.54277
1.0,43,2731.185842
1.0,41,2731.761432
1.0,55,2732.555915
1.0,39,2733.124068
1.0,45,2733.819277
1.0,25,2734.196886
1.0,35,2734.726332
0.0,68,2735.742963
1.0,29,2736.173632
1.0,49,2736.927958
1.0,23,2737.246556
1.0,35,2737.785953
1.0,29,2738.226355
1.0,23,2738.580289
1.0,99,2740.026443
1.0,71,2741.110346
1.0,31,2741.584896
1.0,25,2741.979667
1.0,55,2742.800897
1.0,99,2744.248091
0.0,35,2744.736912
1.0,23,2745.075898
1.0,25,2745.424594
1.0,41,2746.045306
1.0,27,2746.453199
1.0,33,2746.937933
1.0,91,2748.238284
1.0,51,2748.994943
1.0,25,2749.338451
1.0,23,2749.669975
1.0,37,2750.23413
1.0,27,2750.647333
0.0,66,2751.647401
1.0,25,2752.032226
1.0,47,2752.721686
1.0,31,2753.201524
1.0,61,2754.114945
1.0,33,2754.603939
1.0,25,2754.977173
1.0,43,2755.598352
1.0,31,2756.045984
1.0,39,2756.611074
1.0,31,2757.069243
1.0,25,2757.439052
1.0,51,2758.195241
1.0,75,2759.258489
1.0,37,2759.795502
1.0,69,2760.797278
1.0,37,2761.307081
1.0,35,2761.802118
1.0,33,2762.27473
1.0,23,2762.603698
1.0,27,2762.994216
1.0,57,2763.819144
1.0,25,2764.179344
1.0,27,2764.563366
1.0,27,2764.935514
1.0,79,2766.096926
1.0,47,2766.823717
1.0,87,2768.129606
1.0,25,2768.506887
1.0,61,2769.389105
1.0,35,2769.885377
1.0,33,2770.358062
1.0,31,2770.810405
1.0,47,2771.505418
1.0,65,2772.444289
1.0,23,2772.773896
1.0,67,2773.775215
1.0,41,2774.394108
1.0,21,2774.724997
1.0,63,2775.620014
1.0,85,2776.914038
1.0,43,2777.534171
1.0,35,2778.095573
1.0,31,2778.545488
1.0,25,2778.898083
1.0,41,2779.520702
1.0,39,2780.073997
1.0,33,2780.5353
1.0,43,2781.163852
1.0,27,2781.519652
1.0,27,2781.909054
1.0,47,2782.604664
1.0,23,2782.959869
1.0,27,2783.374062
1.0,27,2783.768342
1.0,31,2784.212955
1.0,69,2785.176087
1.0,23,2785.484283
1.0,27,2785.868157
1.0,45,2786.52601
1.0,45,2787.157685
1.0,53,2787.91594
1.0,27,2788.288509
1.0,31,2788.737736
1.0,33,2789.202923
1.0,27,2789.611282
1.0,27,2790.016207
1.0,27,2790.406287
1.0,41,2790.982233
1.0,27,2791.355825
1.0,43,2791.993277
1.0,21,2792.294517
1.0,87,2793.595985
1.0,29,2794.015917
1.0,23,2794.339844
1.0,39,2794.923833
1.0,31,2795.36888
1.0,27,2795.758514
1.0,39,2796.316258
1.0,29,2796.737932
1.0,27,2797.113395
1.0,25,2797.482017
1.0,29,2797.898665
1.0,31,2798.351557
1.0,57,2799.153073
1.0,29,2799.587317
1.0,37,2800.163604
1.0,27,2800.573884
1.0,21,2800.881702
1.0,33,2801.363093
1.0,27,2801.739459
1.0,29,2802.156926
1.0,27,2802.562749
1.0,37,2803.079666
1.0,27,2803.45946
1.0,35,2803.981178
1.0,29,2804.397114
1.0,43,2805.033657
1.0,27,2805.423563
1.0,33,2805.87207
1.0,23,2806.220601
1.0,71,2807.217957
0.0,39,2807.759784
1.0,65,2808.671762
1.0,25,2809.031715
1.0,29,2809.450499
1.0,21,2809.760382
1.0,25,2810.104308
1.0,25,2810.446421
1.0,25,2810.809508
1.0,29,2811.241554
1.0,23,2811.586168
1.0,31,2811.999097
1.0,29,2812.427535
1.0,25,2812.790192
1.0,45,2813.431642
1.0,25,2813.808852
1.0,25,2814.161863
1.0,29,2814.576068
1.0,37,2815.123267
1.0,35,2815.630966
1.0,33,2816.117582
1.0,25,2816.461707
1.0,65,2817.383263
1.0,35,2817.873882
1.0,23,2818.202373
1.0,27,2818.603414
1.0,45,2819.234104
1.0,25,2819.617042
1.0,31,2820.067941
1.0,25,2820.426385
1.0,29,2820.857335
1.0,25,2821.200587
1.0,25,2821.561313
1.0,25,2821.901996
1.0,23,2822.238168
1.0,33,2822.694074
1.0,27,2823.09007
1.0,27,2823.496494
0.0,693,2833.427218
1.0,97,2834.812763
1.0,29,2835.254862
1.0,21,2835.558806
1.0,27,2835.937512
1.0,27,2836.315522
1.0,27,2836.7375
1.0,25,2837.086045
1.0,23,2837.417101
1.0,25,2837.782591
1.0,23,2838.114639
1.0,41,2838.702076
1.0,29,2839.091965
1.0,29,2839.533882
1.0,23,2839.855509
1.0,27,2840.253597
1.0,25,2840.618254
1.0,29,2841.010278
1.0,23,2841.359426
1.0,87,2842.616907
1.0,41,2843.203938
1.0,25,2843.554047
1.0,25,2843.892121
1.0,101,2845.370099
1.0,29,2845.796572
1.0,27,2846.192915
1.0,31,2846.629342
1.0,73,2847.67305
1.0,29,2848.085546
1.0,29,2848.492808
1.0,45,2849.176627
1.0,25,2849.529904
1.0,23,2849.854468
1.0,25,2850.23303
1.0,29,2850.712593
1.0,33,2851.17791
1.0,83,2852.424933
1.0,25,2852.780047
1.0,27,2853.213413
1.0,21,2853.512388
1.0,27,2853.893481
1.0,41,2854.476416
1.0,27,2854.869761
1.0,27,2855.267279
