# {"t_start": 1682498738.7904654, "env_id": "Craft-single-M1-v0"} 
r,l,t
1.0,513,27.09647
1.0,509,28.27566
1.0,482,30.940838
1.0,429,32.35427
0.0,1000,35.056328
1.0,332,35.959345
0.0,1000,38.679215
0.0,1000,41.399636
1.0,306,42.229886
0.0,1000,44.947364
0.0,1000,47.652546
1.0,947,50.226127
1.0,436,51.410455
0.0,164,51.857357
1.0,179,52.34642
1.0,683,54.205889
1.0,885,56.619908
1.0,369,57.619229
0.0,397,58.698444
0.0,89,58.939073
1.0,264,59.658051
1.0,186,60.165035
1.0,279,60.920339
0.0,1000,63.642955
1.0,410,64.75405
1.0,440,65.948579
1.0,252,66.63527
1.0,431,67.806852
1.0,319,68.675126
1.0,137,69.046295
1.0,202,69.594086
1.0,436,70.779993
1.0,711,72.718788
1.0,391,73.787166
0.0,480,75.098327
1.0,480,76.406924
1.0,442,77.631074
1.0,398,78.740593
1.0,661,80.586435
0.0,402,81.713131
1.0,85,81.951608
1.0,312,82.82634
1.0,161,83.281919
1.0,508,84.705159
0.0,751,86.805763
1.0,479,88.130973
1.0,186,88.634874
1.0,294,89.432634
1.0,444,90.6367
1.0,608,92.297019
1.0,383,93.339575
0.0,226,93.95274
1.0,438,95.150182
1.0,469,96.431742
1.0,109,96.726272
1.0,221,97.327149
1.0,495,98.670243
1.0,116,98.985666
0.0,61,99.15163
1.0,375,100.175122
1.0,737,102.182035
1.0,181,102.677898
1.0,277,103.433873
0.0,181,103.931552
0.0,103,104.211129
1.0,113,104.517079
1.0,400,105.605185
1.0,159,106.039587
1.0,235,106.67682
1.0,321,107.553233
1.0,259,108.255947
1.0,372,109.268516
1.0,222,109.876939
1.0,261,110.589399
1.0,353,111.550775
0.0,81,111.773783
1.0,121,112.124085
1.0,55,112.289757
1.0,201,112.902636
1.0,214,113.552862
1.0,242,114.282055
1.0,191,114.860099
1.0,99,115.158452
1.0,113,115.501079
1.0,225,116.182838
1.0,370,117.30391
1.0,198,117.901819
1.0,41,118.027217
1.0,129,118.422137
1.0,109,118.753426
1.0,229,119.449999
1.0,122,119.820271
1.0,124,120.199184
1.0,92,120.477726
1.0,187,121.044914
1.0,193,121.63138
1.0,343,122.673262
1.0,242,123.405597
1.0,293,124.296656
1.0,270,125.123004
1.0,145,125.563195
1.0,125,125.944205
1.0,174,126.473533
1.0,260,127.26547
1.0,159,127.748991
1.0,263,128.553811
1.0,97,128.84835
1.0,196,129.446707
1.0,159,129.927481
1.0,854,132.51948
1.0,74,132.743295
1.0,133,133.145185
1.0,101,133.454029
1.0,209,134.08637
1.0,76,134.317742
1.0,124,134.694084
1.0,120,135.057803
1.0,57,135.231255
1.0,127,135.612886
1.0,150,136.069561
1.0,117,136.426648
1.0,93,136.706895
1.0,197,137.303787
1.0,132,137.701818
1.0,51,137.85772
1.0,139,138.279081
1.0,99,138.579884
1.0,173,139.417083
1.0,128,139.808738
1.0,193,140.364508
1.0,98,140.632375
1.0,177,141.117153
1.0,121,141.44873
1.0,205,142.006862
1.0,79,142.223725
0.0,359,143.20309
1.0,229,143.831921
1.0,78,144.045875
1.0,77,144.2553
1.0,149,144.663047
1.0,419,145.811605
1.0,203,146.373487
1.0,179,146.863873
0.0,229,147.502256
1.0,83,147.734435
1.0,274,148.498778
1.0,49,148.636271
1.0,95,148.903316
1.0,171,149.382076
1.0,95,149.649369
1.0,177,150.150974
1.0,67,150.340194
1.0,61,150.511282
1.0,92,150.767837
1.0,115,151.09086
1.0,184,151.607166
1.0,73,151.812165
