episodes,steps,total reward
9,10000,4.0
19,20000,4.0
29,30000,30.0
39,40000,8.0
49,50000,349.0
59,60000,6.0
69,70000,115.0
79,80000,2.0
89,90000,519.0
99,100000,4.0
109,110000,22.0
119,120000,165.0
129,130000,216.0
139,140000,126.0
149,150000,528.0
159,160000,244.0
169,170000,398.0
179,180000,281.0
189,190000,444.0
199,200000,534.0
209,210000,671.0
219,220000,341.0
229,230000,38.0
239,240000,629.0
249,250000,453.0
259,260000,727.0
269,270000,796.0
279,280000,956.0
289,290000,1488.0
299,300000,638.0
309,310000,1218.0
319,320000,916.0
329,330000,1336.0
339,340000,611.0
349,350000,1758.0
359,360000,1546.0
369,370000,503.0
379,380000,1006.0
389,390000,1805.0
399,400000,1763.0
409,410000,1769.0
419,420000,748.0
429,430000,1790.0
439,440000,1689.0
449,450000,1433.0
459,460000,1751.0
469,470000,1871.0
479,480000,1227.0
489,490000,2150.0
499,500000,1549.0
509,510000,1962.0
519,520000,1678.0
529,530000,1921.0
539,540000,2181.0
549,550000,2303.0
559,560000,2189.0
569,570000,2050.0
579,580000,2196.0
589,590000,2651.0
599,600000,2492.0
609,610000,2400.0
619,620000,2010.0
629,630000,2717.0
639,640000,1548.0
649,650000,1972.0
659,660000,2456.0
669,670000,2595.0
679,680000,2802.0
689,690000,2642.0
699,700000,2649.0
709,710000,2811.0
719,720000,2969.0
729,730000,2292.0
739,740000,2482.0
749,750000,2475.0
759,760000,2602.0
769,770000,3411.0
779,780000,2799.0
789,790000,2308.0
799,800000,2685.0
809,810000,2546.0
819,820000,3100.0
829,830000,2769.0
839,840000,2667.0
849,850000,3253.0
859,860000,2394.0
869,870000,3266.0
879,880000,3052.0
889,890000,3070.0
899,900000,2359.0
909,910000,3356.0
919,920000,2642.0
929,930000,2831.0
939,940000,2787.0
949,950000,3167.0
959,960000,2775.0
969,970000,3174.0
979,980000,2620.0
989,990000,3697.0
999,1000000,3168.0
1009,1010000,2947.0
1019,1020000,3076.0
1029,1030000,3478.0
1039,1040000,2791.0
1049,1050000,3194.0
1059,1060000,2249.0
1069,1070000,3392.0
1079,1080000,3134.0
1089,1090000,3342.0
1099,1100000,3431.0
1109,1110000,3028.0
1119,1120000,2496.0
1129,1130000,2898.0
1139,1140000,3264.0
1149,1150000,2839.0
1159,1160000,2790.0
1169,1170000,3427.0
1179,1180000,3265.0
1189,1190000,3345.0
1199,1200000,3249.0
1209,1210000,3750.0
1219,1220000,1840.0
1229,1230000,3170.0
1239,1240000,2683.0
1249,1250000,3268.0
1259,1260000,3699.0
1269,1270000,3713.0
1279,1280000,3766.0
1289,1290000,3303.0
1299,1300000,3902.0
1309,1310000,2883.0
1319,1320000,3810.0
1329,1330000,3410.0
1339,1340000,3675.0
1349,1350000,2880.0
1359,1360000,3393.0
1369,1370000,3370.0
1379,1380000,3680.0
1389,1390000,3551.0
1399,1400000,3461.0
1409,1410000,3362.0
1419,1420000,2995.0
1429,1430000,3792.0
1439,1440000,3803.0
1449,1450000,4001.0
1459,1460000,3863.0
1469,1470000,3724.0
1479,1480000,3871.0
1489,1490000,3172.0
1499,1500000,3642.0
1509,1510000,3612.0
1519,1520000,4093.0
1529,1530000,3878.0
1539,1540000,3722.0
1549,1550000,3103.0
1559,1560000,3540.0
1569,1570000,3966.0
1579,1580000,3337.0
1589,1590000,3801.0
1599,1600000,3743.0
1609,1610000,3707.0
1619,1620000,3507.0
1629,1630000,3999.0
1639,1640000,3615.0
1649,1650000,3922.0
1659,1660000,4034.0
1669,1670000,3511.0
1679,1680000,3999.0
1689,1690000,4101.0
1699,1700000,4095.0
1709,1710000,3976.0
1719,1720000,4023.0
1729,1730000,3865.0
1739,1740000,3272.0
1749,1750000,3903.0
1759,1760000,3979.0
1769,1770000,4031.0
1779,1780000,3898.0
1789,1790000,3955.0
1799,1800000,3986.0
1809,1810000,4042.0
1819,1820000,3887.0
1829,1830000,3990.0
1839,1840000,3967.0
1849,1850000,3983.0
1859,1860000,3982.0
1869,1870000,3853.0
1879,1880000,3935.0
1889,1890000,4039.0
1899,1900000,3850.0
1909,1910000,4141.0
1919,1920000,4154.0
1929,1930000,3427.0
1939,1940000,3947.0
1949,1950000,4153.0
1959,1960000,3986.0
1969,1970000,4088.0
1979,1980000,4219.0
1989,1990000,3445.0
1999,2000000,4062.0
