episodes,steps,total reward
9,10000,0.0
19,20000,0.0
29,30000,0.0
40,40000,3.0
50,50000,1.0
61,60000,1.0
71,70000,3.0
81,80000,0.0
92,90000,1.0
102,100000,0.0
112,110000,1.0
122,120000,0.0
132,130000,0.0
142,140000,1.0
152,150000,0.0
162,160000,0.0
172,170000,0.0
182,180000,0.0
193,190000,1.0
203,200000,1.0
213,210000,2.0
224,220000,2.0
234,230000,1.0
244,240000,2.0
254,250000,1.0
264,260000,0.0
275,270000,1.0
285,280000,0.0
295,290000,2.0
305,300000,0.0
315,310000,2.0
326,320000,1.0
336,330000,0.0
346,340000,1.0
356,350000,0.0
366,360000,0.0
376,370000,0.0
387,380000,2.0
397,390000,1.0
408,400000,2.0
418,410000,1.0
429,420000,3.0
439,430000,1.0
449,440000,1.0
460,450000,2.0
471,460000,1.0
481,470000,1.0
492,480000,4.0
503,490000,3.0
514,500000,2.0
525,510000,4.0
537,520000,7.0
548,530000,2.0
559,540000,3.0
570,550000,3.0
582,560000,5.0
594,570000,5.0
608,580000,10.0
619,590000,5.0
632,600000,8.0
644,610000,7.0
655,620000,3.0
667,630000,7.0
681,640000,8.0
693,650000,7.0
706,660000,7.0
720,670000,10.0
733,680000,9.0
745,690000,6.0
759,700000,12.0
771,710000,6.0
787,720000,12.0
801,730000,11.0
814,740000,8.0
828,750000,9.0
845,760000,15.0
857,770000,6.0
871,780000,12.0
888,790000,15.0
902,800000,8.0
919,810000,15.0
933,820000,9.0
951,830000,15.0
968,840000,14.0
985,850000,16.0
1001,860000,12.0
1020,870000,16.0
1042,880000,20.0
1058,890000,11.0
1075,900000,14.0
1092,910000,14.0
1113,920000,19.0
1129,930000,12.0
1151,940000,20.0
1170,950000,17.0
1190,960000,16.0
1211,970000,18.0
1234,980000,22.0
1253,990000,16.0
1278,1000000,22.0
1297,1010000,16.0
1319,1020000,20.0
1342,1030000,21.0
1360,1040000,15.0
1381,1050000,18.0
1413,1060000,32.0
1439,1070000,24.0
1466,1080000,26.0
1491,1090000,20.0
1512,1100000,20.0
1541,1110000,27.0
1569,1120000,26.0
1595,1130000,25.0
1619,1140000,24.0
1648,1150000,29.0
1673,1160000,21.0
1703,1170000,29.0
1740,1180000,37.0
1773,1190000,30.0
1799,1200000,24.0
1836,1210000,36.0
1869,1220000,33.0
1893,1230000,24.0
1928,1240000,35.0
1961,1250000,31.0
1999,1260000,38.0
2040,1270000,41.0
2077,1280000,34.0
2114,1290000,35.0
2158,1300000,43.0
2196,1310000,36.0
2242,1320000,46.0
2281,1330000,37.0
2325,1340000,44.0
2370,1350000,44.0
2418,1360000,46.0
2464,1370000,46.0
2508,1380000,44.0
2556,1390000,47.0
2605,1400000,48.0
2648,1410000,42.0
2705,1420000,56.0
2765,1430000,60.0
2821,1440000,56.0
2875,1450000,53.0
2939,1460000,62.0
2993,1470000,52.0
3059,1480000,66.0
3114,1490000,54.0
3187,1500000,73.0
3250,1510000,63.0
3318,1520000,68.0
3388,1530000,70.0
3467,1540000,79.0
3556,1550000,89.0
3640,1560000,84.0
3717,1570000,77.0
3802,1580000,85.0
3897,1590000,95.0
3998,1600000,100.0
4123,1610000,125.0
4258,1620000,135.0
4414,1630000,156.0
4575,1640000,161.0
4718,1650000,143.0
4876,1660000,158.0
5025,1670000,149.0
5182,1680000,157.0
5343,1690000,161.0
5503,1700000,160.0
5656,1710000,152.0
5812,1720000,156.0
5969,1730000,157.0
6115,1740000,145.0
6274,1750000,159.0
6428,1760000,154.0
6596,1770000,168.0
6767,1780000,171.0
6934,1790000,167.0
7101,1800000,167.0
7269,1810000,168.0
7437,1820000,168.0
7605,1830000,168.0
7769,1840000,164.0
7938,1850000,169.0
8103,1860000,165.0
8271,1870000,168.0
8436,1880000,165.0
8606,1890000,170.0
8764,1900000,158.0
8931,1910000,167.0
9102,1920000,171.0
9258,1930000,156.0
9427,1940000,169.0
9593,1950000,166.0
9763,1960000,170.0
9928,1970000,165.0
10095,1980000,167.0
10266,1990000,171.0
10434,2000000,168.0
