episodes,steps,total reward
9,10000,3.0
19,20000,2.0
29,30000,4.0
39,40000,5.0
49,50000,255.0
59,60000,50.0
69,70000,117.0
79,80000,619.0
89,90000,191.0
99,100000,549.0
109,110000,708.0
119,120000,627.0
129,130000,584.0
139,140000,1328.0
149,150000,730.0
159,160000,800.0
169,170000,1283.0
179,180000,1237.0
189,190000,1390.0
199,200000,1397.0
209,210000,1400.0
219,220000,1582.0
229,230000,1768.0
239,240000,1422.0
249,250000,1846.0
259,260000,1782.0
269,270000,2367.0
279,280000,2062.0
289,290000,2345.0
299,300000,1888.0
309,310000,1906.0
319,320000,1577.0
329,330000,2786.0
339,340000,2452.0
349,350000,2308.0
359,360000,1714.0
369,370000,2321.0
379,380000,1628.0
389,390000,2322.0
399,400000,2251.0
409,410000,2474.0
419,420000,2548.0
429,430000,3178.0
439,440000,2382.0
449,450000,2186.0
459,460000,2355.0
469,470000,2909.0
479,480000,2312.0
489,490000,3375.0
499,500000,2697.0
509,510000,2449.0
519,520000,2322.0
529,530000,2142.0
539,540000,2387.0
549,550000,2932.0
559,560000,2617.0
569,570000,2828.0
579,580000,3549.0
589,590000,3021.0
599,600000,2153.0
609,610000,2941.0
619,620000,2865.0
629,630000,3004.0
639,640000,2687.0
649,650000,2985.0
659,660000,2627.0
669,670000,3300.0
679,680000,2760.0
689,690000,2837.0
699,700000,3258.0
709,710000,3359.0
719,720000,2189.0
729,730000,3270.0
739,740000,3210.0
749,750000,3400.0
759,760000,2420.0
769,770000,3564.0
779,780000,3304.0
789,790000,3065.0
799,800000,2737.0
809,810000,2709.0
819,820000,3433.0
829,830000,3619.0
839,840000,3015.0
849,850000,3090.0
859,860000,3366.0
869,870000,2997.0
879,880000,3378.0
889,890000,2778.0
899,900000,3381.0
909,910000,3318.0
919,920000,3293.0
929,930000,3110.0
939,940000,3229.0
949,950000,3120.0
959,960000,3269.0
969,970000,3330.0
979,980000,3549.0
989,990000,3726.0
999,1000000,3354.0
1009,1010000,3703.0
1019,1020000,2706.0
1029,1030000,3390.0
1039,1040000,3381.0
1049,1050000,3221.0
1059,1060000,3580.0
1069,1070000,3723.0
1079,1080000,3094.0
1089,1090000,3385.0
1099,1100000,3468.0
1109,1110000,3654.0
1119,1120000,3151.0
1129,1130000,3300.0
1139,1140000,3533.0
1149,1150000,3391.0
1159,1160000,3480.0
1169,1170000,3192.0
1179,1180000,3555.0
1189,1190000,3607.0
1199,1200000,3000.0
1209,1210000,3995.0
1219,1220000,3532.0
1229,1230000,2987.0
1239,1240000,3919.0
1249,1250000,3371.0
1259,1260000,3593.0
1269,1270000,3785.0
1279,1280000,3611.0
1289,1290000,3355.0
1299,1300000,3863.0
1309,1310000,3532.0
1319,1320000,3789.0
1329,1330000,3839.0
1339,1340000,3219.0
1349,1350000,3497.0
1359,1360000,2993.0
1369,1370000,3551.0
1379,1380000,3967.0
1389,1390000,3610.0
1399,1400000,3947.0
1409,1410000,3862.0
1419,1420000,3790.0
1429,1430000,3444.0
1439,1440000,3407.0
1449,1450000,3792.0
1459,1460000,3670.0
1469,1470000,3989.0
1479,1480000,3486.0
1489,1490000,3147.0
1499,1500000,3410.0
1509,1510000,3650.0
1519,1520000,3740.0
1529,1530000,3523.0
1539,1540000,3364.0
1549,1550000,3627.0
1559,1560000,3620.0
1569,1570000,3965.0
1579,1580000,3705.0
1589,1590000,4024.0
1599,1600000,3405.0
1609,1610000,3477.0
1619,1620000,3398.0
1629,1630000,4080.0
1639,1640000,3918.0
1649,1650000,3859.0
1659,1660000,3677.0
1669,1670000,3414.0
1679,1680000,3739.0
1689,1690000,3874.0
1699,1700000,4024.0
1709,1710000,3657.0
1719,1720000,3784.0
1729,1730000,3792.0
1739,1740000,3845.0
1749,1750000,4018.0
1759,1760000,3971.0
1769,1770000,3763.0
1779,1780000,3680.0
1789,1790000,3470.0
1799,1800000,3106.0
1809,1810000,3898.0
1819,1820000,4135.0
1829,1830000,3845.0
1839,1840000,4026.0
1849,1850000,3858.0
1859,1860000,3852.0
1869,1870000,4030.0
1879,1880000,3664.0
1889,1890000,3593.0
1899,1900000,4032.0
1909,1910000,3825.0
1919,1920000,3978.0
1929,1930000,3987.0
1939,1940000,3677.0
1949,1950000,3752.0
1959,1960000,4136.0
1969,1970000,4052.0
1979,1980000,3762.0
1989,1990000,3835.0
1999,2000000,3484.0
