# {"t_start": 1682494986.7315645, "env_id": "Craft-single-M1-v0"} 
r,l,t
0.0,1000,0.030963
0.0,1000,0.061501
0.0,1000,0.091855
0.0,1000,0.122803
0.0,1000,0.152752
1.0,778,0.176264
0.0,1000,0.205451
0.0,1000,0.236188
0.0,1000,0.265375
0.0,1000,0.294732
0.0,1000,0.325283
0.0,1000,0.355327
0.0,1000,0.384828
0.0,1000,0.414961
0.0,1000,0.444894
0.0,1000,0.47486
0.0,1000,0.505318
0.0,1000,0.53876
0.0,1000,0.568408
0.0,1000,0.599273
0.0,1000,0.630556
0.0,1000,0.662298
0.0,1000,0.693074
0.0,1000,0.723946
0.0,1000,0.754755
0.0,1000,0.785102
0.0,1000,0.815156
0.0,1000,0.845061
0.0,1000,0.875017
0.0,1000,0.907168
0.0,1000,0.938715
0.0,1000,0.969344
0.0,1000,0.999098
0.0,1000,1.029129
0.0,1000,1.059045
0.0,1000,1.088682
0.0,1000,1.119434
0.0,1000,1.149101
0.0,1000,1.179569
0.0,1000,1.210052
0.0,1000,1.241482
0.0,1000,1.27275
0.0,1000,1.303488
0.0,1000,1.334088
0.0,1000,1.364326
0.0,1000,1.394684
0.0,1000,1.42501
0.0,1000,1.455485
0.0,1000,1.486012
0.0,1000,1.51629
0.0,1000,1.546965
0.0,1000,1.577676
0.0,1000,1.608273
0.0,1000,1.638626
0.0,1000,1.668952
0.0,1000,1.699378
0.0,1000,1.729569
0.0,1000,1.760075
0.0,1000,1.790587
0.0,1000,1.821131
0.0,1000,1.852708
0.0,1000,1.883005
0.0,1000,1.913595
0.0,1000,1.944166
0.0,1000,1.97441
0.0,1000,2.004029
0.0,1000,2.033761
0.0,1000,2.063211
0.0,1000,2.092476
1.0,597,2.109961
0.0,1000,2.140621
0.0,1000,2.171148
0.0,1000,2.200753
0.0,1000,2.229985
0.0,1000,2.259337
0.0,1000,2.288767
0.0,1000,2.318558
0.0,1000,2.348119
0.0,1000,2.377495
0.0,1000,2.407109
0.0,1000,2.438456
0.0,1000,2.46909
0.0,1000,2.499494
0.0,1000,2.529864
0.0,1000,2.560375
0.0,1000,2.590991
0.0,1000,2.620795
0.0,1000,2.650751
0.0,1000,2.680526
0.0,1000,2.709991
0.0,1000,2.741484
0.0,1000,2.772165
0.0,1000,2.802353
0.0,1000,2.832501
0.0,1000,2.862502
0.0,1000,2.892248
0.0,1000,2.921657
0.0,1000,2.950959
0.0,1000,2.98021
0.0,1000,3.009437
0.0,1000,3.040169
1.0,654,3.059788
0.0,1000,3.089922
0.0,1000,3.119754
0.0,1000,3.149234
0.0,1000,3.178478
0.0,1000,3.207812
0.0,1000,3.237324
0.0,1000,3.266573
0.0,1000,3.295846
0.0,1000,3.325285
0.0,1000,3.356821
0.0,1000,3.386339
0.0,1000,3.415688
0.0,1000,3.445439
0.0,1000,3.474942
0.0,1000,3.504036
0.0,1000,3.534189
0.0,1000,3.563469
1.0,597,3.580939
0.0,1000,3.61006
0.0,1000,3.641453
0.0,1000,3.671603
0.0,1000,3.701173
0.0,1000,3.730373
1.0,742,3.751981
0.0,1000,3.78107
0.0,1000,3.810923
0.0,1000,3.840639
0.0,1000,3.869778
0.0,1000,3.899432
0.0,1000,3.929703
0.0,1000,3.960547
0.0,1000,3.990131
0.0,1000,4.019459
0.0,1000,4.048881
0.0,1000,4.077996
0.0,1000,4.107241
0.0,1000,4.136603
0.0,1000,4.165995
1.0,838,4.190685
0.0,1000,4.221012
0.0,1000,4.252025
0.0,1000,4.281585
0.0,1000,4.311894
0.0,1000,4.341901
0.0,1000,4.371914
0.0,1000,4.401441
1.0,934,4.428862
0.0,1000,4.458289
0.0,1000,4.487419
0.0,1000,4.517438
0.0,1000,4.548365
0.0,1000,4.578336
1.0,990,4.607944
0.0,1000,4.637947
0.0,1000,4.667906
0.0,1000,4.697222
0.0,1000,4.726322
1.0,800,4.749743
0.0,1000,4.778969
0.0,1000,4.80817
0.0,1000,4.839964
0.0,1000,4.87039
0.0,1000,4.900494
0.0,1000,4.930727
0.0,1000,4.960803
0.0,1000,4.99061
0.0,1000,5.019793
0.0,1000,5.049117
0.0,1000,5.07818
0.0,1000,5.107349
0.0,1000,5.138644
0.0,1000,5.169101
1.0,708,5.19015
0.0,1000,5.220069
0.0,1000,5.249921
0.0,1000,5.279896
0.0,1000,5.309179
0.0,1000,5.338326
0.0,1000,5.367653
0.0,1000,5.39695
1.0,720,5.419552
0.0,1000,5.450093
0.0,1000,5.479898
0.0,1000,5.510187
1.0,795,5.534163
0.0,1000,5.56397
0.0,1000,5.593389
0.0,1000,5.622768
0.0,1000,5.652129
0.0,1000,5.681452
1.0,875,5.707604
0.0,1000,5.739398
1.0,989,5.76934
0.0,1000,5.799262
0.0,1000,5.829364
0.0,1000,5.859545
0.0,1000,5.889582
0.0,1000,5.919121
0.0,1000,5.94853
0.0,1000,5.977751
0.0,1000,6.007287
0.0,1000,6.039003
0.0,1000,6.069248
1.0,778,6.09245
0.0,1000,6.122851
0.0,1000,6.153007
0.0,1000,6.182775
0.0,1000,6.21206
0.0,1000,6.241566
0.0,1000,6.271092
0.0,1000,6.300538
1.0,949,6.330586
0.0,1000,6.360482
1.0,675,6.380314
0.0,1000,6.410249
0.0,1000,6.440221
0.0,1000,6.470045
0.0,1000,6.499696
0.0,1000,6.528976
1.0,558,6.545317
0.0,1000,6.57442
0.0,1000,6.603568
0.0,1000,6.635337
0.0,1000,6.665204
0.0,1000,6.694925
0.0,1000,6.725451
0.0,1000,6.755412
1.0,726,6.777194
0.0,1000,6.806496
0.0,1000,6.835811
0.0,1000,6.865189
0.0,1000,6.894735
0.0,1000,6.925885
0.0,1000,6.955843
0.0,1000,6.985202
1.0,335,6.9953
0.0,1000,7.025172
1.0,584,7.042636
0.0,1000,7.072602
0.0,1000,7.101795
0.0,1000,7.130976
0.0,1000,7.160052
0.0,1000,7.189143
0.0,1000,7.219873
0.0,1000,7.250028
1.0,831,7.27446
0.0,1000,7.304186
0.0,1000,7.333875
0.0,1000,7.36327
0.0,1000,7.392632
0.0,1000,7.42198
0.0,1000,7.451441
1.0,526,7.466922
0.0,1000,7.496316
0.0,1000,7.527462
0.0,1000,7.557569
1.0,679,7.577474
0.0,1000,7.6071
1.0,368,7.617964
0.0,1000,7.647504
0.0,1000,7.676729
0.0,1000,7.706319
0.0,1000,7.75424
0.0,1000,7.802125
0.0,1000,7.850126
1.0,982,7.899622
0.0,1000,7.948179
1.0,613,7.977532
1.0,515,8.002229
0.0,1000,8.050308
0.0,1000,8.09803
0.0,1000,8.145781
0.0,1000,8.193275
0.0,1000,8.241443
0.0,1000,8.289439
0.0,1000,8.33577
0.0,1000,8.366268
1.0,884,8.392831
1.0,735,8.414254
0.0,1000,8.444265
0.0,1000,8.473709
0.0,1000,8.503403
0.0,1000,8.532828
0.0,1000,8.562029
1.0,273,8.570049
0.0,1000,8.599475
1.0,530,8.615008
0.0,1000,8.64571
0.0,1000,8.676372
0.0,1000,8.706518
1.0,842,8.731766
0.0,1000,8.761707
1.0,600,8.779716
0.0,1000,8.809086
1.0,865,8.834483
0.0,1000,8.863721
1.0,553,8.879879
0.0,1000,8.909071
0.0,1000,8.939747
0.0,1000,8.970665
0.0,1000,9.000492
0.0,1000,9.030529
0.0,1000,9.060312
1.0,870,9.086091
1.0,259,9.093664
1.0,934,9.121437
0.0,1000,9.151015
1.0,381,9.162219
1.0,673,9.18181
0.0,1000,9.210937
0.0,1000,9.241879
1.0,994,9.272554
1.0,981,9.301971
0.0,1000,9.331845
0.0,1000,9.362054
0.0,1000,9.391964
1.0,719,9.412998
0.0,1000,9.442606
1.0,660,9.462034
1.0,677,9.481861
0.0,1000,9.511199
0.0,1000,9.542006
0.0,1000,9.572814
0.0,1000,9.602647
1.0,806,9.626931
0.0,1000,9.656828
0.0,1000,9.68646
0.0,1000,9.716208
0.0,1000,9.745729
0.0,1000,9.774822
1.0,775,9.797501
0.0,1000,9.827891
0.0,1000,9.859007
1.0,293,9.868374
0.0,1000,9.898165
0.0,1000,9.928034
0.0,1000,9.957989
0.0,1000,9.987712
0.0,1000,10.016999
0.0,1000,10.046169
0.0,1000,10.07548
0.0,1000,10.104633
1.0,671,10.125085
0.0,1000,10.156198
0.0,1000,10.186265
1.0,439,10.19953
0.0,1000,10.229376
1.0,297,10.238264
0.0,1000,10.267944
0.0,1000,10.297654
0.0,1000,10.326965
1.0,948,10.354858
1.0,613,10.372799
0.0,1000,10.402107
0.0,1000,10.433138
