episodes,steps,total reward
9,10000,37.0
19,20000,4.0
29,30000,0.0
39,40000,166.0
49,50000,2.0
59,60000,2.0
69,70000,2.0
79,80000,2.0
89,90000,8.0
99,100000,33.0
109,110000,0.0
119,120000,92.0
129,130000,4.0
139,140000,19.0
149,150000,216.0
159,160000,355.0
169,170000,97.0
179,180000,6.0
189,190000,6.0
199,200000,354.0
209,210000,148.0
219,220000,8.0
229,230000,103.0
239,240000,389.0
249,250000,470.0
259,260000,472.0
269,270000,439.0
279,280000,1049.0
289,290000,435.0
299,300000,814.0
309,310000,658.0
319,320000,921.0
329,330000,782.0
339,340000,578.0
349,350000,693.0
359,360000,436.0
369,370000,1224.0
379,380000,897.0
389,390000,1204.0
399,400000,1482.0
409,410000,1159.0
419,420000,2016.0
429,430000,1361.0
439,440000,1066.0
449,450000,1453.0
459,460000,1552.0
469,470000,1915.0
479,480000,2151.0
489,490000,1829.0
499,500000,1893.0
509,510000,1797.0
519,520000,1900.0
529,530000,1840.0
539,540000,2201.0
549,550000,2182.0
559,560000,2666.0
569,570000,2255.0
579,580000,2952.0
589,590000,2110.0
599,600000,2002.0
609,610000,1966.0
619,620000,2263.0
629,630000,1896.0
639,640000,2544.0
649,650000,3072.0
659,660000,3073.0
669,670000,2157.0
679,680000,2503.0
689,690000,2301.0
699,700000,3047.0
709,710000,2724.0
719,720000,2846.0
729,730000,2632.0
739,740000,2935.0
749,750000,3153.0
759,760000,2710.0
769,770000,2810.0
779,780000,3223.0
789,790000,3241.0
799,800000,2288.0
809,810000,3220.0
819,820000,2562.0
829,830000,3297.0
839,840000,2852.0
849,850000,3126.0
859,860000,2957.0
869,870000,2635.0
879,880000,3431.0
889,890000,3100.0
899,900000,3124.0
909,910000,3254.0
919,920000,3405.0
929,930000,3230.0
939,940000,3589.0
949,950000,3271.0
959,960000,2670.0
969,970000,2676.0
979,980000,3636.0
989,990000,3803.0
999,1000000,3895.0
1009,1010000,3517.0
1019,1020000,3277.0
1029,1030000,2994.0
1039,1040000,3551.0
1049,1050000,3827.0
1059,1060000,3758.0
1069,1070000,3715.0
1079,1080000,3433.0
1089,1090000,3703.0
1099,1100000,3676.0
1109,1110000,3307.0
1119,1120000,3077.0
1129,1130000,3455.0
1139,1140000,3814.0
1149,1150000,3664.0
1159,1160000,3918.0
1169,1170000,3386.0
1179,1180000,4017.0
1189,1190000,3794.0
1199,1200000,3910.0
1209,1210000,3700.0
1219,1220000,4029.0
1229,1230000,3947.0
1239,1240000,3987.0
1249,1250000,3832.0
1259,1260000,3886.0
1269,1270000,3838.0
1279,1280000,3983.0
1289,1290000,3057.0
1299,1300000,3926.0
1309,1310000,3866.0
1319,1320000,3553.0
1329,1330000,3071.0
1339,1340000,3734.0
1349,1350000,3929.0
1359,1360000,3993.0
1369,1370000,3600.0
1379,1380000,3841.0
1389,1390000,3925.0
1399,1400000,3856.0
1409,1410000,3996.0
1419,1420000,4109.0
1429,1430000,4080.0
1439,1440000,3743.0
1449,1450000,3973.0
1459,1460000,3759.0
1469,1470000,3973.0
1479,1480000,3887.0
1489,1490000,3969.0
1499,1500000,3678.0
1509,1510000,3858.0
1519,1520000,3867.0
1529,1530000,4113.0
1539,1540000,3916.0
1549,1550000,3952.0
1559,1560000,4011.0
1569,1570000,4083.0
1579,1580000,3511.0
1589,1590000,3951.0
1599,1600000,3663.0
1609,1610000,3946.0
1619,1620000,4162.0
1629,1630000,4091.0
1639,1640000,3633.0
1649,1650000,4185.0
1659,1660000,3977.0
1669,1670000,3940.0
1679,1680000,3573.0
1689,1690000,4014.0
1699,1700000,3923.0
1709,1710000,3900.0
1719,1720000,4146.0
1729,1730000,3914.0
1739,1740000,3999.0
1749,1750000,4023.0
1759,1760000,4166.0
1769,1770000,4026.0
1779,1780000,3428.0
1789,1790000,4072.0
1799,1800000,4089.0
1809,1810000,3964.0
1819,1820000,3733.0
1829,1830000,3654.0
1839,1840000,4143.0
1849,1850000,4102.0
1859,1860000,3968.0
1869,1870000,4070.0
1879,1880000,4104.0
1889,1890000,4149.0
1899,1900000,3983.0
1909,1910000,3726.0
1919,1920000,3978.0
1929,1930000,4063.0
1939,1940000,3844.0
1949,1950000,4165.0
1959,1960000,4016.0
1969,1970000,4090.0
1979,1980000,3570.0
1989,1990000,3939.0
1999,2000000,4159.0
